product_name,product_brand,product_category,product_code,product_series,product_part_number,business,product_identifier
T-4700 Pneumatic Room Thermostat,Johnson Controls,"Pneumatic Thermostat, Room Thermostat","T-4752-201, T-4752-202, T-4752-205, T-4752-206, T-4752-619, T-4752-620, T-4756-1738, T-4756-1739, T-4756-201, T-4756-202, T-4756-205, T-4756-206, T-4756-2141, T-4756-2145, T-4756-6141, T-4756-6145, T-4756-6738, T-4756-6739, T-4756-9003, T-4756-9007, T-4756-9012, T-4756-9738",Not Specified,24-3932-7,Building Automation and Controls,T-4700_Pneumatic_Room_Thermostat-Joh-_T-4756-9738-Nd-24-3932-7Bs
T-5002 Temperature Transmitter,Johnson Controls,"Pneumatic Temperature Transmitter, Temperature Transmitter","T-5002-201, T-5002-202, T-5002-203, T-5002-205, T-5002-300",Not Specified,24-3794-28,Building Automation and Controls,T-5002_Temperature_Transmitter-Joh-_T-5002-300-Nd-24-3794-28Bs
T-8000 Remote Element Controller,Johnson Controls,Element Controller,"T-800-1603, T-800-1604, T-800-1610, T-8000-1, T-8000-16, T-8000-2400, T-8000-2405, T-8000-2413, T-8000-2421, T-8000-2448, T-8000-2456, T-8000-3, T-8000-4, T-8000-6, T-8000-618, T-8000-619, T-8000-70, T-8000-91",Not Specified,24-3203-3,Building Automation and Controls,T-8000_Remote_Element_Controller-Joh-_T-8000-91-Nd-24-3203-3Bs
T-8000 Remote Element Controller,Johnson Controls,Element Controller,"T-800-1603, T-800-1604, T-800-1610, T-8000-1, T-8000-16, T-8000-2400, T-8000-2405, T-8000-2413, T-8000-2421, T-8000-2448, T-8000-2456, T-8000-3, T-8000-4, T-8000-6, T-8000-618, T-8000-619, T-8000-70, T-8000-91",Not Specified,24-3200-18,Building Automation and Controls,T-8000_Remote_Element_Controller-Joh-_T-8000-91-Nd-24-3200-18Bs
V3000-8001,Johnson Controls,Pneumatic Actuator,"V-3000-8003, V-3000-8011, V-3000-8012, V-3000-8012D",Not Specified,Not Specified,Building Automation and Controls,V3000-8001-Joh-_V-3000-8012D-Nd-naBs
V-3000-8003,Johnson Controls,Pneumatic Actuator,"Not Specified, V-3000-8001, V-3000-8003, V-3000-8011, V-3000-8012, V-3000-8012D, VG7000-1001, VG7000-1002, VG7000-1003, VG7000-1004, VG7000-1005, VG7000-1006, VG7000-1007, VG7000-1008, VG7000-1009",Not Specified,Not Specified,Building Automation and Controls,V-3000-8003-Joh-_VG7000-1009-Nd-naBs
VA9203-GGx-xx,Johnson Controls,Electric Actuator,"VA9203-GGA-1Z, VA9203-GGA-2Z, VA9203-GGA-2ZD, VA9203-GGA-BRZ, VA9203-GGB-1Z, VA9203-GGB-2Z, VA9203-GGB-2ZD, VA9203-GGB-BRZ, VA9203-GGx-xx",Not Specified,14-1380-24,Building Automation and Controls,VA9203-GGx-xx-Joh-_VA9203-GGx-xx-Nd-14-1380-24Bs
M9104,Johnson Controls,Electric Actuator,"M9000-550, M9000-551, M9104, M9104-AGP-2S, M9104-IUA-2S",Not Specified,34-636-2383,Building Automation and Controls,M9104-Joh-_M9104-IUA-2S-Nd-34-636-2383Bs
M9104-AGP-2S,Johnson Controls,Electric Actuator,M9104-AGP-2S,Not Specified,34-636-2383,Building Automation and Controls,M9104-AGP-2S-Joh-M9104-AGP-2S-Nd-34-636-2383Bs
T-3100 Thermostat,Johnson Controls,"Pneumatic Thermostat, Temperature and Pressure Thermostat","Not Specified, T-3100-2, T-3100-3, T-3100-6005, T-3111-1, T-3111-2, T-3111-3, T-3111-6, T-3200-1, T-3300-1, T-3300-2, T-3311-1, T-3311-2",Not Specified,Not Specified,Building Automation and Controls,T-3100_Thermostat-Joh-_T-3311-2-Nd-naBs
T-3200 Pneumatic Thermostat,Johnson Controls,Pneumatic Thermostat,"T-3100-2, T-3100-3, T-3100-6005, T-3111-1, T-3111-2, T-3111-3, T-3111-6, T-3200-1, T-3300-1, T-3300-2, T-3311-1, T-3311-2",Not Specified,Not Specified,Building Automation and Controls,T-3200_Pneumatic_Thermostat-Joh-_T-3311-2-Nd-naBs
T-3300 Pneumatic Thermostat,Johnson Controls,Pneumatic Thermostat,"T-3100-2, T-3100-3, T-3100-6005, T-3111-1, T-3111-2, T-3111-3, T-3111-6, T-3200-1, T-3300-1, T-3300-2, T-3311-1, T-3311-2",Not Specified,Not Specified,Building Automation and Controls,T-3300_Pneumatic_Thermostat-Joh-_T-3311-2-Nd-naBs
V11 Series,Johnson Controls,Other Valves and Actuators,"V11HAA-100, V11HAA-115, V11HBA-100, V11HCA-100, V11HDA-100, V11HFA-100, V11HGA-100, V11PNA-105, Y99AA-4C",Not Specified,Not Specified,Building Automation and Controls,V11_Series-Joh-_Y99AA-4C-Nd-naBs
VA-715x,Johnson Controls,Electric Actuator,"VA-7150-1001, VA-7150-1900, VA-7152-1001, VA-7153-1001",Not Specified,Not Specified,Building Automation and Controls,VA-715x-Joh-_VA-7153-1001-Nd-naBs
YCUL,YORK,"Chiller Integration, Condensing Unit, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YCUL-YOR-na-Nd-naCs
YLPA,YORK,"Condensing Unit, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YLPA-YOR-na-Nd-naCs
CD-Px0xx-00-00 CO2 Transmitter,Johnson Controls,CO2 Sensor/Transmitter,"CD-P1000-00-00, CD-Px0-00-0, CD-Px0xx-00-00, CD-Pxx-00-0",Not Specified,24-9601-0,Building Automation and Controls,CD-Px0xx-00-00_CO2_Transmitter-Joh-_CD-Pxx-00-0-Nd-24-9601-0Bs
ZFR1800 Series Wireless Field Bus System,Facility Explorer,"Control Panel, Wireless Device","FX-WRZMHN01-0, FX-WRZMNN01-0, FX-WRZMTB01-0, FX-WRZMTN01-0, FX-WRZPTR00-0, FX-WRZSST-110, FX-WRZSST-120, FX-WRZSTR00-0, FX-WRZTHB00-0, FX-WRZTHN00-0, FX-WRZTHP00-0, FX-WRZTTB00-0, FX-WRZTTD00-0, FX-WRZTTP00-0, FX-WRZTTR00-0, FX-WRZTTS00-0, FX-ZFR1810-0, FX-ZFR1810-1, FX-ZFR1811-0, FX-ZFR1811-1, FX-ZFR1812-0, FX-ZFRCBL-0, FX-ZFRRPT-0, FX-ZFRRPTK-H1, FX-ZFRRPTK-H2, PA1A00000HC0, PA1A00004HC0",Not Specified,24-10325-37,Building Automation and Controls,ZFR1800_Series_Wireless_Field_Bus_System-Fac-_PA1A00004HC0-Nd-24-10325-37Bs
FX70 Supervisory Controller,Facility Explorer,Supervisory Device,"FX-SC3EM1-6, FX-SC3EM3-6, FX-SC3EM5-6, FX-SC6EM1-6, FX-SC6EM3-6, FX-SC6EM5-6, FX-SC7M1-6, FX-SC7M3-6, FX-SC7M5-6, FX-SL000-0, FX-SL000M1-0, FX-SL000M1-6, FX-SL000M3-6, FX-SL000M5-6, FX-SL001-0, FX-SL001M1-0, FX-SL001M1-6, FX-SL001M3-6, FX-SL001M5-6, FX-SL002-0, FX-SL002M1-0, FX-SL002M1-6, FX-SL002M3-6, FX-SL002M5-6, FX-SL003-0, FX-SL003M1-0, FX-SL003M1-6, FX-SL003M3-6, FX-SL003M5-6, FX-SL010-0, FX-SL010M1-0, FX-SL010M1-6, FX-SL010M3-6, FX-SL010M5-6, FX-SL100-0, FX-SL100M1-0, FX-SL100M1-6, FX-SL100M3-6, FX-SL100M5-6, FX-SLAX-0, FX-SLCSV-0, FX-SLDEMO-0, FX-SLDL010-0, FX-SLDL025-0, FX-SLDL050-0, FX-SLDL100-0, FX-SLDL200-0, FX-SLMYSQL-0, FX-SLOPCCL-0, FX-SLORCL-0, FX-SLSQL-0, FX-SLU001-6, FX-SLU100-6, FX-SLUNL-0, FX-SLUNLM1-0, FX-SLUNLM1-6, FX-SLUNLM3-6, FX-SLUNLM5-6, FX-SLUUNL-6, LP-FX3011E-1, LP-FX3021E-1, LP-FX30BDEM-1, LP-FX40UPG-0, LP-FX6011E-1, LP-FX6021E-1, LP-FX60BDEM-2, LP-FX7011N-0, LP-FX7021N-0, LP-FX70WIFI-0, LP-FXFIPS-0, LP-FXGPRS-0, LP-FXGPRSE-0, LP-FXGPRSS-0, LP-FXGPRSW-0, LP-FXGUEST-0, LP-FXLONFTT-0, LP-FXLONFTT-1, LP-FXSED-0, LP-FXSEDEXT-0, LP-FXSWUPG-0, LP-FXWB-COPY, LP-FXWBALM-0, LP-FXWBDEM-0, LP-FXWBE-0, LP-FXWS-0, LP-FXWS-100, LP-FXWS-3, LP-FXWS-UNL, LP-FXWSFIPS-0, LP-FXWSLTD-0, LP-FXWSU-100, LP-FXWSU-UNL, LP-FXWTC-0, LP-KIT7MEM-0, LP-KITFX7BAT-0, LP-KITFX7HW-0, LP-KITGPRSA-0, LP-KITSED3T-0, LP-KITSEDAT-0, Not Specified",Not Specified,24-10564-17,Building Automation and Controls,FX70_Supervisory_Controller-Fac-_na-Nd-24-10564-17Bs
P266 Single‐Phase Fan Speed Control,PENN Controls,Single‐Phase Motor Speed Controller,"P266, P266AAA-100C, P266ABA-100C, P266ABA-1K, P266ABA-2K, P266ABA-3K, P266ABA-4K, P266ACA-100C, P266ACA-500C, P266ADA-100C, P266BCA-100C, P266BCA-500C, P266BDA-100C, P266BGA-100C, P266BHA-100C, P266BHA-1K, P266BHA-2K, P266BHA-3K, P266BHA-4K, P266CHA-100C, P266E, P266EAA-100C, P266EAA-1K, P266EAA-3K, P266EBA-100C, P266EBA-1K, P266EBA-3K, P266ECA-100C, P266ECA-1K, P266ECA-3K, P266ECA-801C, P266EDA-100C, P266EDA-1K, P266EDA-3K, P266EEA-100C, P266EEA-1K, P266EEA-3K, P266EFA-100C, P266EFA-1K, P266PRM-1K, P266SNR-1C, P266SNR-2C, P66AAB, P66AAD, P66ABB, P66BAB, P66BAD, P66BBB, S66AA, S66DC, S66FA","P266, P66, S66",24-7664-2705,Building Automation and Controls,P266_Single‐Phase_Fan_Speed_Control-PEN-_S66FA-P6-24-7664-2705Bs
Network Engine Control Panel,Metasys,Control Panel,"Not Specified, P2ABN-AA001NA0, P2ABN-AB001NA0, P2ABN-AC001NA0, P2ABN-GA001NA0, P2ABN-GB001NA0, P2ABY-GA001NA0, P2ABY-GB001NA0, P2BBN-AA001NB0, P2BBN-AB001NB0, P2BBN-AC001NB0, P2DAN-GA001NA0, P2DAN-GA001NB0, P2DAN-GB001NA0, P2DAN-GB001NB0, P2DAY-GA001NA0, P2DAY-GA001NB0, P2DAY-GB001NA0, P2DAY-GB001NB0, PAG100001AC0, PAG100009AA0 ,PAG100009AA0 ,PAG100009AA0 ,PAG200009AA0 ,PAG200009AA0 ,PAG200009AA0 ,PAGE00009AA0 ,PAGE00009AA0 ,PAGE00009AA0 ,PAGE00009FA0 ,PAGE00009FA0 ,PAGE00009FA0 ,PAGJ00009FA0 ,PAGJ00009FA0 ,PAGJ00009FA0 ,PAJJ00009FA0 ,PAJJ00009FA0 ,PAJJ00009FA0 ,PAKG00019BA0 ,PAKG00019BA0 ,PAKG00019BA0 ,PAKG00019EA0 ,PAKG00019EA0 ,PAKG00019EA0 ,PAKGJJ01ABA0 ,PAKGJJ01ABA0 ,PAKGJJ01ABA0 ,PARE00009BA0 ,PARE00009BA0 ,PARE00009BA0, PAG200001AC0, PAG300001AC0, PAG400001AC0, PAG500001AC0, PAGE00001FC0, PAGF00001FC0, PAGG00001FC0, PAGH00001FC0, PAGJ00001FC0, PAGK00001FC0, PAGL00001FC0, PAGM00001FC0, PAGS00001FC0, PAGT00001FC0, PAGU00001FC0, PAGV00001FC0, PAGX00001AC0, PAGY00001AC0, PAGZ00001AC0, PAHD00001AC0, PAHE00001AC0, PAHF00001AC0, PAHG00001AC0, PARA00001BH0, PARA00001BH4, PARA00001FC0, PARA00001FC4, PARA00011BH0, PARA00011BH4, PARB00001BH0, PARB00001BH4, PARB00001FC0, PARB00001FC4, PARB00011BH0, PARB00011BH4, PARC00001BH0, PARC00001BH4, PARC00001FC0, PARC00001FC4, PARC00011BH0, PARC00011BH4, PARD00001BH0, PARD00001BH4, PARD00001FC0, PARD00001FC4, PARD00011BH0, PARD00011BH4, PARE00001BH0, PARE00001BH4, PARE00001FC0, PARE00001FC4, PARE00011BH0, PARE00011BH4, PARF00001BH0, PARF00001BH4, PARF00001FC0, PARF00001FC4, PARF00011BH0, PARF00011BH4, PARG00001BH0, PARG00001FC0, PARG00011BH0, PARH00001BH0, PARH00001FC0, PARH00011BH0, PARJ00001BH0, PARJ00001FC0, PARJ00011BH0, PARK00001BH0, PARK00001FC0, PARK00011BH0, PARL00001BH0, PARL00001FC0, PARL00011BH0, PARM00001BH0, PARM00001FC0, PARM00011BH0, S2A0N-AA001NA0, S2A0N-AB001NA0, S2A0N-AC001NA0, S2A0N-GA001NA0, S2A0N-GB001NA0, S2B0N-AA001NB0, S2B0N-AB001NB0, S2B0N-AC001NB0, S2D0N-GA001NA0, S2D0N-GA001NB0, S2D0N-GB001NA0, S2D0N-GB001NB0, SAG100001A00, SAG200001A00, SAG300001A00, SAG400001A00, SAG500001A00, SAGE00001F00, SAGF00001F00, SAGG00001F00, SAGH00001F00, SAGJ00001F00, SAGK00001F00, SAGL00001F00, SAGM00001F00, SAGS00001F00, SAGT00001F00, SAGU00001F00, SAGV00001F00, SAGX00001A00, SAGY00001A00, SAGZ00001A00, SAHD00001A00, SAHE00001A00, SAHF00001A00, SAHG00001A00, SARA00001F00, SARA00001F04, SARB00001F00, SARB00001F04, SARC00001F00, SARC00001F04, SARD00001F00, SARD00001F04, SARE00001F00, SARE00001F04, SARF00001F00, SARF00001F04",Not Specified,Not Specified,Building Automation and Controls,Network_Engine_Control_Panel-Met-_SARF00001F04-Nd-naBs
C450CBN Standard Control Module One Relay Output,PENN Controls,"Pressure Transducer, System 450 Multi-Purpose Modular Control System, Temperature Sensor","A99B, C450CBN, C450CBN-1C, C450CBN-2C, C450CBN-3C, C450CCN, C450CCN-1C, C450CCN-2C, C450CCN-3C, C450CEN, C450CPN, C450CPW, C450CQN, C450CRN, C450Cxx, C450RBN, C450RCN, C450Rxx, C450SBN, C450SCN, C450SPN, C450SQN, C450Sxx, C450YNN, C450Yxx, DPT265, HE67S3, HE6800, P499, P598, TE-6000, TE-6300, TE-6800",System 450,24-7664-2896,Building Automation and Controls,C450CBN_Standard_Control_Module_One_Relay_Output-PEN-_TE-6800-S0-24-7664-2896Bs
C450CCN Standard Control Module Two Relay Outputs,PENN Controls,"Pressure Transducer, System 450 Multi-Purpose Modular Control System, Temperature Sensor","A99, A99B, C450CBN, C450CBN-1C, C450CBN-2C, C450CBN-3C, C450CCN, C450CCN-1C, C450CCN-2C, C450CCN-3C, C450CEN, C450CPN, C450CPW, C450CQN, C450CRN, C450Cxx, C450RBN, C450RCN, C450Rxx, C450SBN, C450SCN, C450SPN, C450SQN, C450Sxx, C450YNN, C450Yxx, DPT265, HE67S3, HE6800, P499, P598, TE-6000, TE-6300, TE-6800","A99, System 450",24-7664-2896,Building Automation and Controls,C450CCN_Standard_Control_Module_Two_Relay_Outputs-PEN-_TE-6800-A0-24-7664-2896Bs
C450CPN Standard Control Module One Analog Output,PENN Controls,"Pressure Transducer, System 450 Multi-Purpose Modular Control System, Temperature Sensor","A99B, C450CBN, C450CCN, C450CEN, C450CPN, C450CPN-1C, C450CPN-3C, C450CPW, C450CQN, C450CQN-1C, C450CQN-3C, C450CRN, C450Cxx, C450RBN, C450RCN, C450Rxx, C450SBN, C450SCN, C450SPN, C450SQN, C450Sxx, C450YNN, C450Yxx, DPT265, HE67S3, HE6800, P499, P598, TE-6000, TE-6300, TE-6800",System 450,24-7664-2853,Building Automation and Controls,C450CPN_Standard_Control_Module_One_Analog_Output-PEN-_TE-6800-S0-24-7664-2853Bs
C450CQN Standard Control Module Two Analog Outputs,PENN Controls,"Pressure Transducer, System 450 Multi-Purpose Modular Control System, Temperature Sensor","A99B, C450CBN, C450CCN, C450CEN, C450CPN, C450CPN-1C, C450CPN-3C, C450CPW, C450CQN, C450CQN-1C, C450CQN-3C, C450CRN, C450Cxx, C450RBN, C450RCN, C450Rxx, C450SBN, C450SCN, C450SPN, C450SQN, C450Sxx, C450YNN, C450Yxx, DPT265, HE67S3, HE6800, P499, P598, TE-6000, TE-6300, TE-6800",System 450,24-7664-2853,Building Automation and Controls,C450CQN_Standard_Control_Module_Two_Analog_Outputs-PEN-_TE-6800-S0-24-7664-2853Bs
ZFR1800 Series Wireless Field Bus System,Metasys,"Software Application, Wireless Device","MS-ZFR1810-0, MS-ZFR1810-1, MS-ZFR1811-0, MS-ZFR1811-1, MS-ZFR1812-0, MS-ZFRCBL-0, MS-ZFRRPT-0, MS-ZFRRPTK-H1, MS-ZFRRPTK-H2, MS-ZFRZCT-0, Not Specified",Not Specified,24-10325-2,Building Automation and Controls,ZFR1800_Series_Wireless_Field_Bus_System-Met-_na-Nd-24-10325-2Bs
ZFR1800 Series Wireless Field Bus System,Metasys,"Software Application, Wireless Device","MS-ZFR1810-0, MS-ZFR1810-1, MS-ZFR1811-0, MS-ZFR1811-1, MS-ZFR1812-0, MS-ZFRCBL-0, MS-ZFRRPT-0, MS-ZFRRPTK-H1, MS-ZFRRPTK-H2, MS-ZFRZCT-0, Not Specified",Not Specified,24-10325-45,Building Automation and Controls,ZFR1800_Series_Wireless_Field_Bus_System-Met-_na-Nd-24-10325-45Bs
FEC26 Field Equipment Controller,Metasys,Field Device,"MS-BTCVT-1, MS-BTCVT-1G, MS-BTCVTCBL-700, MS-FAC2611-0, MS-FAC2611-0G, MS-FAC2611-0U, MS-FAC2612-1, MS-FAC2612-1U, MS-FAC2612-2, MS-FAC3611-0, MS-FAC3613-0, MS-FAC4911-0, MS-FEB1610-0, MS-FEB1610-0D, MS-FEB1610-0G, MS-FEB2610-0, MS-FEB2610-0D, MS-FEB2610-0G, MS-FEC1610-0, MS-FEC1610-0D, MS-FEC1610-0G, MS-FEC1611-0, MS-FEC1611-0ET, MS-FEC1611-0ETG, MS-FEC1611-0G, MS-FEC1611-0U, MS-FEC1611-1, MS-FEC1611-1ET, MS-FEC1611-1U, MS-FEC1620-0, MS-FEC1621-0, MS-FEC1621-0G, MS-FEC1621-1, MS-FEC2610-0, MS-FEC2610-0D, MS-FEC2610-0G, MS-FEC2611-0, MS-FEC2611-0ET, MS-FEC2611-0G, MS-FEC2611-0U, MS-FEC2611-x, MS-FEC2611-xET, MS-FEC2620-0, MS-FEC2621-0, MS-FEC2621-0G, MS-FEC2621-0U, MS-FEC2621-x, MS-FEU1610-0, MS-FEU1610-0D, MS-FEU1610-0G, MS-FEU1610-0U, MS-FEU1610-0UG, MS-FEU1620-0, MS-FEU1620-0G, MS-FEU1620-0U, MS-FEU1620-0UG, MS-FEU2610-0, MS-FEU2610-0D, MS-FEU2610-0G, MS-FEU2610-0U, MS-FEU2610-0UG, MS-FEU2620-0, MS-FEU2620-0G, MS-FEU2620-0U, MS-FEU2620-0UG, MS-FEU3610-0, MS-IOB4710-0, MS-IOB4710-0D, MS-IOB4710-0G, MS-IOM1710-0, MS-IOM1710-0G, MS-IOM1710-0U, MS-IOM1710-0UG, MS-IOM1711-0, MS-IOM1711-0G, MS-IOM1711-0U, MS-IOM2710-0, MS-IOM2710-0G, MS-IOM2710-0U, MS-IOM2710-0UG, MS-IOM2711-0, MS-IOM2711-0G, MS-IOM2711-0U, MS-IOM2711-1, MS-IOM2711-2, MS-IOM2721-0, MS-IOM2721-0G, MS-IOM3710 -0G, MS-IOM3710-0, MS-IOM3710-0G, MS-IOM3710-0U, MS-IOM3710-0UG, MS-IOM3711-0, MS-IOM3711-0G, MS-IOM3711-0U, MS-IOM3711-1, MS-IOM3711-2, MS-IOM3721-0, MS-IOM3721-0G, MS-IOM3731-0, MS-IOM3731-0G, MS-IOM4710-0, MS-IOM4710-0D, MS-IOM4710-0G, MS-IOM4711-0, MS-IOM4711-0G, MS-IOM4711-0U, MS-IOU4710-0, MS-IOU4710-0D, MS-IOU4710-0G, MS-IOU4710-0U, MS-VMA1610-0, MS-VMA1610-0AD, MS-VMA1610-0D, MS-VMA1610-0G, MS-VMA1610-0U, MS-VMA1610-1, MS-VMA1610-1D, MS-VMA1610-1U, MS-VMA1615-0, MS-VMA1615-0D, MS-VMA1615-0G, MS-VMA1615-0U, MS-VMA1617-0, MS-VMA1617-0D, MS-VMA1620-0, MS-VMA1620-0D, MS-VMA1620-0G, MS-VMA1620-0U, MS-VMA1620-1, MS-VMA1620-1D, MS-VMA1620-1U, MS-VMA1620-700U, MS-VMA1620-701, MS-VMA1626-0, MS-VMA1626-0G, MS-VMA1626-1, MS-VMA1626-1G, MS-VMA1628-0, MS-VMA1628-0G, MS-VMA1628-1, MS-VMA1628-1G, MS-VMA1630-0, MS-VMA1630-0D, MS-VMA1630-0G, MS-VMA1630-0U, MS-VMA1630-1, MS-VMA1630-1D, MS-VMA1630-1G, MS-VMA1632-0, MS-VMA1632-0D, MS-VMA1656-0, MS-VMA1656-1, MS-VMA1826-0, MS-VMA1826-0G, MS-VMA1826-1, MS-VMA1826-1G, MS-VMA1832-0D, MS-VMA1832-0G, MS-VMA1832-1, MS-VMA1832-1G, MS-VMA1930-0, NS-AHB7002-0G, NS-AHB7002-OG, NS-ATB7001-0G, NS-ATB7002-0G, NS-ATP7001-0G, NS-ATP7002-0G, NS-ATV7001-0G, NS-ATV7002-0G, NS-ATV7003-0, NS-BHB7002-0G, NS-BTB7001-0G, NS-BTB7002-0G, NS-BTP7001-0G, NS-BTP7002-0G, NS-BTP7002-2G, NS-BTP7003-0G, NS-BTV7001-0G, NS-BTV7002-0G, NS-WALLPLATE-0, Not Specified",Not Specified,Not Specified,Building Automation and Controls,FEC26_Field_Equipment_Controller-Met-_na-Nd-naBs
FEC,Metasys,Field Device,"MS-FEB1610-0, MS-FEB1610-0D, MS-FEB1610-0G, MS-FEB2610-0, MS-FEB2610-0D, MS-FEB2610-0G, MS-FEC1610-0, MS-FEC1610-0D, MS-FEC1610-0G, MS-FEC1611-0, MS-FEC1611-0ET, MS-FEC1611-0ETG, MS-FEC1611-0G, MS-FEC1611-0U, MS-FEC1611-1, MS-FEC1611-1ET, MS-FEC1620-0, MS-FEC1621-0, MS-FEC1621-0G, MS-FEC1621-1, MS-FEC2610-0, MS-FEC2610-0D, MS-FEC2610-0G, MS-FEC2611-0, MS-FEC2611-0ET, MS-FEC2611-0G, MS-FEC2620-0, MS-FEC2621-0, MS-FEC2621-0G, MS-FEU1610-0, MS-FEU1610-0D, MS-FEU1610-0G, MS-FEU1610-0UG, MS-FEU1620-0, MS-FEU1620-0G, MS-FEU1620-0U, MS-FEU1620-0UG, MS-FEU2610-0, MS-FEU2610-0D, MS-FEU2610-0G, MS-FEU2610-0U, MS-FEU2610-0UG, MS-FEU2620-0, MS-FEU2620-0G, MS-FEU2620-0U, MS-FEU2620-0UG, MS-FEU3610-0, MS-IOB4710-0, MS-IOM1710-0, MS-IOM1710-0G, MS-IOM1710-0UG, MS-IOM1711-0, MS-IOM1711-0G, MS-IOM2710-0, MS-IOM2710-0G, MS-IOM2710-0UG, MS-IOM2711-0, MS-IOM2711-0G, MS-IOM2711-1, MS-IOM2711-2, MS-IOM2721-0, MS-IOM2721-0G, MS-IOM3710-0, MS-IOM3710-0G, MS-IOM3710-0UG, MS-IOM3711-0, MS-IOM3711-0G, MS-IOM3711-1, MS-IOM3711-2, MS-IOM3721-0, MS-IOM3721-0G, MS-IOM3731-0, MS-IOM3731-0G, MS-IOM4710-0, MS-IOM4711-0, MS-IOM4711-0G, MS-IOU4710-0, MS-IOU4710-0G, MS-IOU4710-0UG, MS-VMA1610-0, MS-VMA1610-0AD, MS-VMA1610-0D, MS-VMA1610-0G, MS-VMA1610-0UG, MS-VMA1610-1, MS-VMA1610-1D, MS-VMA1615-0, MS-VMA1615-0D, MS-VMA1615-0G, MS-VMA1617-0, MS-VMA1617-0D, MS-VMA1620-0, MS-VMA1620-0D, MS-VMA1620-0G, MS-VMA1620-0UG, MS-VMA1620-1, MS-VMA1620-1D, MS-VMA1620-700U, MS-VMA1620-701, MS-VMA1626-0, MS-VMA1626-0G, MS-VMA1626-1, MS-VMA1626-1G, MS-VMA1628-0, MS-VMA1628-0G, MS-VMA1628-1, MS-VMA1628-1G, MS-VMA1630-0, MS-VMA1630-0D, MS-VMA1630-0G, MS-VMA1630-1, MS-VMA1630-1D, MS-VMA1630-1G, MS-VMA1632-0, MS-VMA1632-0D, MS-VMA1656-0, MS-VMA1656-1, MS-VMA1826-1, MS-VMA1826-1G, MS-VMA1832-0D, MS-VMA1832-0G, MS-VMA1832-1, MS-VMA1832-1G, Not Specified",Not Specified,Not Specified,Building Automation and Controls,FEC-Met-_na-Nd-naBs
VMA,Metasys,Field Device,"MS-VMA1610-0, MS-VMA1610-0AD, MS-VMA1610-0D, MS-VMA1610-0G, MS-VMA1610-0U, MS-VMA1610-1, MS-VMA1610-1D, MS-VMA1610-1U, MS-VMA1620-0, MS-VMA1620-0D, MS-VMA1620-0G, MS-VMA1620-0U, MS-VMA1620-1, MS-VMA1620-1D, MS-VMA1620-1U, MS-VMA1626-1, MS-VMA1626-1G, MS-VMA1630-1, MS-VMA1630-1D, MS-VMA1630-1G, MS-VMA1826-1, MS-VMA1826-1G, MS-VMA1832-0, MS-VMA1832-1, MS-VMA1832-1G, MS-VMAACT-700, MS-VMAACT-701, Not Specified",Not Specified,Not Specified,Building Automation and Controls,VMA-Met-_na-Nd-naBs
AD-1250 Airflow Measuring Station,Johnson Controls,Air Measuring System,"APESN, APESW, APETW, ASENN",Not Specified,Not Specified,Building Automation and Controls,AD-1250_Airflow_Measuring_Station-Joh-_ASENN-Nd-naBs
Emerald,CEM Systems,Hardware,Not Specified,Not Specified,TSR-IS-0086-1.71,Access Control,Emerald-CEM-na-Nd-TSR-IS-0086-1.71Al
AC2000,CEM Systems,"Hardware, Integrations, Software",Not Specified,Not Specified,A2SE7.1-UG-0259-1,Access Control,AC2000-CEM-na-Nd-A2SE7.1-UG-0259-1Al
V-4000,Johnson Controls,Pneumatic Actuator,"V-3802, V-4000, V-4000-1",Not Specified,Not Specified,Building Automation and Controls,V-4000-Joh-_V-4000-1-Nd-naBs
A419 Electronic Temperature Control,PENN Controls,"Electromechanical Temperature Control, Electronic Temperature Control","A419ABG-3C, A99BA, A99BB, BKT287, CLK350, PLT344, WEL11A","A419, Not Specified",24-7664-1539,Building Automation and Controls,A419_Electronic_Temperature_Control-PEN-_WEL11A-Ad-24-7664-1539Bs
AC2000,CEM Systems,"Hardware, Integrations, Software",Not Specified,Not Specified,A2SE7.1‐UG‐0262‐1,Access Control,AC2000-CEM-na-Nd-A2SE7.1‐UG‐0262‐1Al
CD-WAx-00-2 CO2 and Temperature Transmitter,Johnson Controls,"CO2 Sensor/Transmitter, Temperature Transmitter",CD-WA0-00-2,Not Specified,24-10863-9,Building Automation and Controls,CD-WAx-00-2_CO2_and_Temperature_Transmitter-Joh-CD-WA0-00-2-Nd-24-10863-9Bs
