product_name,brand,product_category,product_code,product_series,business,product_identifier
VG7243,Johnson Controls,"Pneumatic Actuator, Threaded Globe Valve and Actuator","VG7243, VG7443, VG7843",Not Specified,Building Automation and Controls,62018de4123397286033a123ca539137d54d0d8a
VG7443,Johnson Controls,"Pneumatic Actuator, Threaded Globe Valve and Actuator","VG7243, VG7443, VG7843",Not Specified,Building Automation and Controls,c188d975b311ccdf76b266da942a19a08d3ca65c
VG7843,Johnson Controls,"Pneumatic Actuator, Threaded Globe Valve and Actuator","VG7243, VG7443, VG7843",Not Specified,Building Automation and Controls,ebe408acb9261db281b86083e500cebf4e427946
VG778x2,Johnson Controls,Pneumatic Actuator,"VG778x2, VG7xx1",Not Specified,Building Automation and Controls,5d8cd934ba9412de2f3005a52b576de80b99f14f
VG7xx1,Johnson Controls,Pneumatic Actuator,"VG778x2, VG7xx1",Not Specified,Building Automation and Controls,070f77807213622fbf46e615c8b563bdb693659f
M5 Workstation,Metasys,"Software Application, Supervisory Device","MW-M5BUNDLE-0, MW-M5SAES-0, MW-M5SAES-6, MW-M5SAES-M-8, MW-M5SAES-P-8, MW-M5SAOS-0, MW-M5SAOS-6, MW-M5SAOS-M-8, MW-M5WHCI-0, MW-M5WHCI-0JCJP, MW-M5WHCI-6, MW-M5WHCI-6JCJP, MW-M5WN1P-0, MW-M5WN1P-0JCJP, MW-M5WN1P-6, MW-M5WN1P-6JCJP",Not Specified,Building Automation and Controls,d9f0b846af549f5bb903835882ef35e1220cad12
Analog Profile,Metasys,"Field Device, Software Application",Not Specified,Not Specified,Building Automation and Controls,77badc24817fd7cbe26faff663dc3915f0122021
N1 OPC Data Access Server,Metasys,Server,Not Specified,Not Specified,Building Automation and Controls,f8b51d0e4068bac7dcb9090d059b1180897ddcab
VG4000,Johnson Controls,"Zone Valve, Zone and Fan Coil Valve","VG4000, VG4200FC, VG4200GC, VG4220FC, VG4220GC, VG4240FC, VG4240FC+7010A, VG4240FC+7010G, VG4240FC+7450G, VG4240FC+7452G, VG4240GC, VG4240GC+7010A, VG4240GC+7010G, VG4240GC+7450G, VG4240GC+7452G, VG4270FC, VG4270FC+7010A, VG4270FC+7010G, VG4270FC+7450G, VG4270FC+7452G, VG4270GC, VG4270GC+7010A, VG4270GC+7010G, VG4270GC+7450G, VG4270GC+7452G, VG4400FC, VG4400GC, VG4420FC, VG4420GC, VG4440FC, VG4440FC+7010A, VG4440FC+7010G, VG4440GC, VG4440GC+7010A, VG4440GC+7010G, VG4470FC, VG4470FC+7010A, VG4470FC+7010G, VG4470GC, VG4470GC+7010A, VG4470GC+7010G, VG4800FC, VG4800GC, VG4820FC, VG4820GC, VG4840FC, VG4840FC+7010A, VG4840FC+7010G, VG4840FC+7450G, VG4840FC+7452G, VG4840GC, VG4840GC+7010A, VG4840GC+7010G, VG4840GC+7450G, VG4840GC+7452G, VG4870FC, VG4870FC+7010A, VG4870FC+7010G, VG4870FC+7450G, VG4870FC+7452G, VG4870GC, VG4870GC+7010A, VG4870GC+7010G, VG4870GC+7450G, VG4870GC+7452G",Not Specified,"Building Automation and Controls, Building Automation and Controls APAC",16901c85d6e06669db2c71d93eb7e4db4952459f
All Chillers,YORK,"Absorption, All Chillers",Not Specified,Not Specified,Chillers,4fa4923e2e9d63dab162147c841f6a3b23f1291e
N30 Supervisory Controller,Metasys,Supervisory Device,"AS-AHU100-0, AS-AHUFWK-0, AS-CBL100-0, AS-ENC100-0, AS-ENC101-0, AS-ENC102-0, AS-LCPKEY-0, AS-TBKIT-0, AS-ZTUBAG-0, AS-ZTUUMB-0, AS-ZTUWMB-0, DEMO-DX120-2, DX-9100-7454, EN-UTLBRK-0, MS-N301010-1, MS-N301010-1G, MS-N301010-700, MS-N301012-1, MS-N301012-1G, MS-N301310-1, MS-N301310-1G, MS-N301310-700, MS-N301312-1, MS-N301312-1G, MS-NET1300-0",Not Specified,Building Automation and Controls,b6fcc5b28c12c972c36c5a5a555e0e320d5ced0b
Controller Application,Metasys,Field Device,Not Specified,Not Specified,Building Automation and Controls,7fe3c21bd8be4063aef35495b8b3ec3e81f3fbe2
Valve Body,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,e8e750b15dd339178d8b890251043d65bbeccc19
M3 Workstation,Metasys,Software Application,"MW-M3BUNDLE-0, MW-M3WHCI-0, MW-M3WHCI-6, MW-MCLOPC05-0, MW-MCLOPC05-6, MW-MCLOPC32-0, MW-MCLTOL0-6, MW-MCLTOL064-0, MW-MCLTOL256-0",Not Specified,Building Automation and Controls,3d076140d007e5945424d7b8015266bc4c4aa714
YCWS,YORK,"Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,642d02faa6b559de3525523c4c5fcbdb302bc4fb
M-Tool,Metasys,Software Application,"MW-MTCBT-0, MW-MTOOL-0, MW-MTOOL-6",Not Specified,Building Automation and Controls,a1a9b5b4e935f5c138cb327d053e2922dd12e84d
VMA14 VAV Modular Assembly,Metasys,Field Device,"AP-TBK1002-0, AP-TBK1003-0, AP-TBK4N2-0, AP-VMA1410-0, AP-VMA1410-0D, AP-VMA1410-0G, AP-VMA1410-0M, AP-VMA1415-0D, AP-VMA1420-0, AP-VMA1420-0A01, AP-VMA1420-0A02, AP-VMA1420-0A03, AP-VMA1420-0A04, AP-VMA1420-0A05, AP-VMA1420-0A06, AP-VMA1420-0A07, AP-VMA1420-0A08, AP-VMA1420-0A09, AP-VMA1420-0A10, AP-VMA1420-0D, AP-VMA1420-0G, AP-VMA1420-0M, AP-VMA1420-0S01, AP-VMA1430-0, AP-VMA1430-0D, AP-VMA1430-0G, AP-VMA1440-0, AP-VMAVBT1-0, LN-VAVC-0, LN-VAVL-0, P-VMA1420-0D",Not Specified,Building Automation and Controls,fd0b98cf2e185d6136f8f6befc5d96d288d02b19
Local Display Terminal,Metasys,Field Device,MS-LDT1102-0,Not Specified,Building Automation and Controls,57faca0213774bdf98abb3a015398e046cc99c60
Metasys System,Metasys,General System Information,"M4-SNC16120-0, M4-SNC16120-04, M4-SNC25150-0, M4-SNC25150-04, M4-SNE10500-0, M4-SNE11000-0, M4-SNE110L0-0, M4-SNE22000-0, MS-ADS05U-0, MS-ADS05U-6, MS-ADS05U-8, MS-ADS05U-SC3, MS-ADS05U-SCS, MS-ADSLA5U-0, MS-ADSLA5U-6, MS-ADSLE5U-0, MS-ADSLE5U-6, MS-ADSONLY-SC3, MS-ADSONLY-SCS, MS-ADX100ON-SC3, MS-ADX100ON-SCS, MS-ADX100U-0, MS-ADX100U-SC3, MS-ADX100U-SCS, MS-ADX10SQL-0, MS-ADX10SQL-6, MS-ADX10SQL-8, MS-ADX10U-0, MS-ADX10U-6, MS-ADX10U-8, MS-ADX10U-SC3, MS-ADX10U-SCS, MS-ADX25ONL-SC3, MS-ADX25ONL-SCS, MS-ADX25UNL-SC3, MS-ADX50ONL-SC3, MS-ADX50ONL-SCS, MS-ADX50SQL-0, MS-ADX50SQL-6, MS-ADX50SQL-8, MS-ADX50SQL2-0, MS-ADX50SQL2-6, MS-ADX50SQL2-8, MS-ADX50U-0, MS-ADX50U-6, MS-ADX50U-8, MS-ADX50U-SC3, MS-ADX50U-SCS, MS-ADXONLY-SC3, MS-ADXONLY-SCS, MS-ADXSWO-0, MS-ADXSWO-6, MS-ADXSWO-8, MS-ADXSWO-SC3, MS-ADXSWO-SCS, MS-ADXSWOSQL-0, MS-ADXSWOSQL-6, MS-ADXSWOSQL-8, MS-COPY-ADS05U, MS-COPY-ADX100U, MS-COPY-ADX10U, MS-COPY-ADX50U, MS-COPY-ADXSWO, MS-COPY-ODS25K, MS-MULTENG-SC3, MS-MULTENG-SCS, MS-MVE-0, MS-MVE-6, MS-MVE-SC3, MS-MVE-SCS, MS-MVE1025U-8, MS-MVE10U-0, MS-MVE10U-6, MS-MVE10U-SC3, MS-MVE10U-SCS, MS-MVE2550U-8, MS-MVE25U-0, MS-MVE25U-6, MS-MVE25U-SC3, MS-MVE25U-SCS, MS-MVE50U-0, MS-MVE50U-6, MS-MVE50U-SC3, MS-MVE50U-SCS, MS-MVE510U-8, MS-MVE525U-8, MS-MVE5U-0, MS-MVE5U-6, MS-MVE5U-SC3, MS-MVE5U-SCS, MS-NXE85SW-SC3, MS-NXE85SW-SCS, MS-ODS25K-0, MS-ODS25K-6, MS-ODS25K-8, MS-ODS25K-SC3, MS-ODS25K-SCS, MS-ODS25KSQL-0, MS-ODS25KSQL-6, MS-ODS25KSQL-8, MS-RAP-0, MS-RAP-6, MS-RAPSQL-0, MS-VMA1630-1, MS-VMA1630-1D, MS-VMA1630-1G, MW-HDATVIS-0, MW-HDATVIS-6, MW-M3BUNDLE-0, MW-M5BUNDLE-0, MW-MGRAPH-0, MW-MGRAPH-6, MW-MTOOL-6, MW-MWATS05-0, MW-MWATS05-8, MW-MWATS10-0, MW-MWATS10-8, WS-SWOPMI-0C, WS-SWOPMI-0JCJM, WS-SWOPMI-0JCJP, WS-SWOPMI-6C, WS-SWOPMI-6JCJM, WS-SWOPMI-6JCJP, WS-SWOPMI-7C, WS-SWOPMI-8C",Not Specified,Building Automation and Controls,bc0973c2fc02f944a3e0797e1970fa715ef74fe9
Metasys Zoning Package,Metasys,System Integration,Not Specified,Not Specified,Building Automation and Controls,73b3515940f994bc4fbaebf03bf4b2ba74dc158e
Operator Workstation,Metasys,"Field Device, Software Application",Not Specified,Not Specified,Building Automation and Controls,4cb872af6a5693a49441d9f0b43b96bfb5708188
H15,Johnson Controls,Accessories,Not Specified,Not Specified,Building Automation and Controls,76b5d27e5213d22f427658c983fe762671f696b3
YK-EP,YORK,Centrifugal,Not Specified,Not Specified,Chillers,c77ab7c787c2f9c3a6493e1fe27fd2876821de6f
YR,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,04d75cb5d0ff58a64e749203cd5c971893b169f7
Network Control Module,Metasys,"Software Application, Supervisory Device","CAP-1, MS-NCM4510-2, MS-NCM4520-2, NCM-1, NU-BAT101-0, NU-BAT101-0G, NU-BAT300-1, NU-NCM201-701, NU-NCM300-701, NU-NCM350-701, NU-NCM350-708, NU-NET101-0, NU-PWR350-8, NU-ROM150-1",Not Specified,Building Automation and Controls,ed084d849944717ddb54b44079b7d4d2da270556
ACC-CD-R Relay Module,Johnson Controls,Accessory,ACC-CD-R,Not Specified,Building Automation and Controls,65d8ace6928197dda1035d2b0becb6ed0f887eca
GM-70-CBP,Johnson Controls,Accessories,GM-70-CBP,Not Specified,Building Automation and Controls,d355ea7607a3c672ad8871168937b8a3845ebb8a
Round Balancing Damper,Johnson Controls,Balancing Damper,"RBG, RBS",Not Specified,Building Automation and Controls,02b1d512da45b461dbd4543a80d356203d6d208a
VA-7010,Johnson Controls,Electric Actuator,"VA-7010, VA-7010-8001, VA-7010-8002, VA-7010-8003, VA-7010-8006, VA-7100-8001, VA-7100-8003, VA-7102-8001, VG4240FC+7010A, VG4240FC+7010G, VG4240GC+7010A, VG4240GC+7010G, VG4270FC+7010A, VG4270FC+7010G, VG4270GC+7010A, VG4270GC+7010G, VG4440FC+7010A, VG4440FC+7010G, VG4440GC+7010A, VG4440GC+7010G, VG4470FC+7010A, VG4470FC+7010G, VG4470GC+7010A, VG4470GC+7010G, VG4840FC+7010A, VG4840FC+7010G, VG4840GC+7010A, VG4840GC+7010G, VG4870FC+7010A, VG4870FC+7010G, VG4870GC+7010A, VG4870GC+7010G, VG5240CC+7010A, VG5240CC+7010D, VG5240CC+7010F, VG5240CC+7010G, VG5240CC+7010S, VG5240DC+7010A, VG5240DC+7010D, VG5240DC+7010F, VG5240DC+7010G, VG5240DC+7010S, VG5240EC+7010A, VG5240EC+7010D, VG5240EC+7010F, VG5240EC+7010G, VG5240EC+7010S, VG5240JC+7010A, VG5240JC+7010D, VG5240JC+7010F, VG5240JC+7010G, VG5240KC+7010A, VG5240KC+7010D, VG5240KC+7010F, VG5240KC+7010G, VG5240KC+7010S, VG5240MC+7010A, VG5240MC+7010D, VG5240MC+7010F, VG5240MC+7010G, VG5240MC+7010S, VG5270BC+7010A, VG5270BC+7010D, VG5270BC+7010F, VG5270BC+7010G, VG5270BC+7010S, VG5270CC+7010A, VG5270CC+7010D, VG5270CC+7010F, VG5270CC+7010G, VG5270CC+7010S, VG5270DC+7010A, VG5270DC+7010D, VG5270DC+7010F, VG5270DC+7010G, VG5270DC+7010S, VG5270EC+7010A, VG5270EC+7010D, VG5270EC+7010F, VG5270EC+7010G, VG5270EC+7010S, VG5270JC+7010A, VG5270JC+7010D, VG5270JC+7010F, VG5270JC+7010G, VG5270JC+7010S, VG5270KC+7010A, VG5270KC+7010D, VG5270KC+7010F, VG5270KC+7010G, VG5270KC+7010S, VG5270LC+7010A, VG5270LC+7010D, VG5270LC+7010F, VG5270LC+7010G, VG5270LC+7010S, VG5270MC+7010A, VG5270MC+7010D, VG5270MC+7010F, VG5270MC+7010G, VG5270MC+7010S, VG5440CC+7010A, VG5440CC+7010D, VG5440CC+7010F, VG5440CC+7010G, VG5440CC+7010S, VG5440DC+7010A, VG5440DC+7010D, VG5440DC+7010F, VG5440DC+7010G, VG5440DC+7010S, VG5440EC+7010A, VG5440EC+7010D, VG5440EC+7010F, VG5440EC+7010G, VG5440EC+7010S, VG5440FC+7010A, VG5440FC+7010D, VG5440FC+7010F, VG5440FC+7010G, VG5440FC+7010S, VG5440HC+7010A, VG5440HC+7010D, VG5440HC+7010F, VG5440HC+7010G, VG5440HC+7010S, VG5440JC+7010A, VG5440JC+7010D, VG5440JC+7010F, VG5440JC+7010G, VG5440JC+7010S, VG5440KC+7010A, VG5440KC+7010D, VG5440KC+7010F, VG5440KC+7010G, VG5440KC+7010S, VG5440LC+7010A, VG5440LC+7010D, VG5440LC+7010F, VG5440LC+7010G, VG5440LC+7010S, VG5440MC+7010A, VG5440MC+7010D, VG5440MC+7010F, VG5440MC+7010G, VG5440MC+7010S, VG5470CC+7010A, VG5470CC+7010D, VG5470CC+7010F, VG5470CC+7010G, VG5470CC+7010S, VG5470DC+7010A, VG5470DC+7010D, VG5470DC+7010F, VG5470DC+7010G, VG5470DC+7010S, VG5470EC+7010A, VG5470EC+7010D, VG5470EC+7010F, VG5470EC+7010G, VG5470EC+7010S, VG5470FC+7010A, VG5470FC+7010D, VG5470FC+7010F, VG5470FC+7010G, VG5470FC+7010S, VG5470HC+7010A, VG5470HC+7010D, VG5470HC+7010F, VG5470HC+7010G, VG5470HC+7010S, VG5470JC+7010A, VG5470JC+7010D, VG5470JC+7010F, VG5470JC+7010G, VG5470JC+7010S, VG5470KC+7010A, VG5470KC+7010D, VG5470KC+7010F, VG5470KC+7010G, VG5470KC+7010S, VG5470LC+7010A, VG5470LC+7010D, VG5470LC+7010F, VG5470LC+7010G, VG5470LC+7010S, VG5470MC+7010A, VG5470MC+7010D, VG5470MC+7010F, VG5470MC+7010G, VG5470MC+7010S, VG5840CC+7010A, VG5840CC+7010D, VG5840CC+7010F, VG5840CC+7010G, VG5840CC+7010S, VG5840DC+7010A, VG5840DC+7010D, VG5840DC+7010F, VG5840DC+7010G, VG5840DC+7010S, VG5840EC+7010A, VG5840EC+7010D, VG5840EC+7010F, VG5840EC+7010G, VG5840EC+7010S, VG5840JC+7010A, VG5840JC+7010D, VG5840JC+7010F, VG5840JC+7010G, VG5840JC+7010S, VG5840KC+7010A, VG5840KC+7010D, VG5840KC+7010F, VG5840KC+7010G, VG5840KC+7010S, VG5840MC+7010A, VG5840MC+7010D, VG5840MC+7010F, VG5840MC+7010G, VG5840MC+7010S, VG5870EC+7010A, VG5870EC+7010D, VG5870EC+7010F, VG5870EC+7010G, VG5870EC+7010S, VG5870KC+7010A, VG5870KC+7010D, VG5870KC+7010F, VG5870KC+7010G, VG5870KC+7010S, VG5870MC+7010A, VG5870MC+7010D, VG5870MC+7010F, VG5870MC+7010G, VG5870MC+7010S",Not Specified,"Building Automation and Controls, Building Automation and Controls APAC",74771b198f4373dee63c8cbd22e129c12f3317ef
IDNet Manual Station,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,ae2e801e146ff15969a05741fdfa8dc8701e28f3
TEC1100 Thermostat,Johnson Controls,Non-Programmable Thermostat,"SEN-500-1, SEN-500-2, SEN-500-601, SEN-500-602, TEC10DOOR-LARGE, TEC10DOOR-PROG, TEC1101-1, TEC1102-1, TEC1103-1",Not Specified,Building Automation and Controls,4ef5500b158a2122e2d8abb2c65596dd9449621c
Wireless Sensing System,PENN Controls,Electronic Temperature Control,"700-7226, 700-7710, 800-7226",Not Specified,Building Automation and Controls,9c1a194cd76cd86b2283672c04bd963ebe70a9c6
ACC-CD-A Temperature Module,Johnson Controls,Accessory,ACC-CD-A,Not Specified,Building Automation and Controls,14482e4f9f5c639747d899b1a98808686d0b3b10
ACC-CD-DR Relay and Display Module,Johnson Controls,Accessory,ACC-CD-DR,Not Specified,Building Automation and Controls,8b542c4f73bd521ef219d23088ea55e90e68effd
ACC-CD-S Relay Setpoint Software,Johnson Controls,Accessory,ACC-CD-S,Not Specified,Building Automation and Controls,2153901b00e62d6f70e5d3131bc7d0e5fa46f66d
ACT2 Controller,PENN Controls,"Defrost,Multi-Purpose Controller, Electronic Refrigeration","800-2012, ACT2",Not Specified,Building Automation and Controls,a532ebddec35ef26dba3093ca29bdd9bcb96d3cb
ACC-ECON-SK01 Damper Position Indicator Switch,Johnson Controls,Damper Parts and Accessories,ACC-ECON-SK01,Not Specified,Building Automation and Controls,eea2fdebdefe39a0545f25bf40630e03074b94b1
AS-RLY Series Relay Module,Johnson Controls,Accessory,"AS-RLY002-0, AS-RLY050-0, AS-RLY100-1",Not Specified,Building Automation and Controls,56be82a76017dfac46f340d3542bcb433d2295e8
Vibration Alarming,Metasys,Supervisory Device,Not Specified,Not Specified,Building Automation and Controls,ef1fa8ff633e68ce5bc4d9ca9518f5e8d79c22ea
2099 Series Single and Double Action Non-Coded Manual Stations,Simplex,Sensors and Initiating Devices,"20--9146CA, 2099, 2099-9120C, 2099-9121C, 2099-9122C, 2099-9123C, 2099-9124C, 2099-9130C, 2099-9131C, 2099-9132C, 2099-9133C, 2099-9134C, 2099-9145CA, 2099-9795C, 2099-9795CB, 2099-9795CF, 2099-9796C, 2099-9810, 2099-9810CA, 2099-9813, 2099-9814, 2975-0001, 2975-9312",Not Specified,Not Specified,9f2bb35bba71877d0561af9918cc5505cdfe394a
ACC-CD-CFK1 Conduit Adaptor Kit for CO2 Transmitters,Johnson Controls,"Accessory, CO2 Sensor/Transmitter",ACC-CD-CFK1,Not Specified,Building Automation and Controls,1d72a93688e59456f4399228b89a1e6d865989cd
Metasys BACnet System Integrator,Metasys,System Integration,"WS-BACSIS-0, WS-BACSIS-6",Not Specified,Building Automation and Controls,69652dd3331d9bda6313616f827e1c952f3dbda2
Network Port,Metasys,"Gateway/Router, Supervisory Device",Not Specified,Not Specified,Building Automation and Controls,49c9ddad59d2442f0053bcad7ec6bd4c1a4ceb54
Network Configuration,Metasys,General System Information,Not Specified,Not Specified,Building Automation and Controls,37bde218443cabf9c29aa2830b565f36c213983e
TrueRH HL-67x5 Humidity Sensor,Johnson Controls,"Humidity Sensor, Temperature Sensor",HL-67x5,Not Specified,Building Automation and Controls,68e125bcf55269d5c2b7bd60c274e7803539b558
Liquid cooled chillers,YORK,"Centrifugal, Screw Water Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,1193b7c1defefddfad0f4dd5655c2d5ed286f83c
A40 Pneumatic Cutout Control,PENN Controls,Electromechanical Temperature Control,"A40, A40EA, A40EA-1C, A40EA-3C, A40EA-4C, A40FA, A40FA-1C, A40FA-5C, A40GA, A40GA-2C, A40GA-3C, A40HA, A40HA-1C, A40HA-2C",A40,Building Automation and Controls,8c1ad7f824569420ffea49a0567c8de342b225e2
TE-6700 Temperature Element,Johnson Controls,"Accessory, Temperature Sensor","ACC-INSL-0, TE-6700, TE-67D0-600, TE-67L-600, TE-67MB-600",Not Specified,Building Automation and Controls,f842f2f25a4287e5e6e44a17cb633dffc2a22a18
TE-67L-60x Label Replacement Kit,Johnson Controls,"Accessory, Temperature Sensor",TE-67L-600,Not Specified,Building Automation and Controls,2ed02ddf31cfed408f9992258d20e283f652b4c9
D-3153,Johnson Controls,"Accessories, Butterfly Valve and Actuator, Pneumatic Actuator","2446599, D-3031, D-3073-600, D-3153, D-3153-1, D-3153-103, D-3153-104, D-3153-106, D-3153-110, D-3153-111, D-3153-112, D-3153-12, D-3153-15, D-3153-18, D-3153-1G, D-3153-2, D-3153-20, D-3153-2G, D-3153-3, D-3153-300, D-3153-3G, D-3153-4, D-3153-4G, D-3153-5, D-3153-5120, D-3153-5120G, D-3153-5130, D-3153-5130G, D-3153-6, D-3153-600, D-3153-6002, D-3153-6003, D-3153-608, D-3153-7, D-3153-701, D-3244, D-3244-500, D-3244-5100, D-3244-5110, D-3244-615, D-3246-5100, D-3246-5110, D-3246-600, D-3246-800, D-9502-12, D-9502-8, D-9502-9, VF-001-601, VF-001-602, VF-001-603, VF-001-604, VF-001-605, VF-002-601, VF-002-602, VF-002-603, VF-002-604, VF-003-601, VF-003-602, VF-003-604, VF-003-605, VF-003-606, VF-003-607, VF-005-601, VF-005-602, VF-005-603, VF-00X-601, VF-00X-602, VF-00X-603, VF-00X-604, VF-00X-605, VF-00X-606, VF-00X-607, VF-00X-608, VF-3WAY-100",Not Specified,Building Automation and Controls,f385df9d6c9c669d16a2ffa7695c4d857f98af17
D-3244,Johnson Controls,"Accessories, Butterfly Valve and Actuator, Pneumatic Actuator","D-3031, D-3073-600, D-3153, D-3153-1, D-3153-2, D-3153-300, D-3153-5120, D-3153-5130, D-3153-600, D-3153-701, D-3244, D-3244-500, D-3244-5100, D-3244-5110, D-3244-615, D-3246-5100, D-3246-5110, D-3246-600, D-3246-800, D-9502-5, VF-001-601, VF-001-602, VF-001-603, VF-001-604, VF-001-605, VF-002-601, VF-002-602, VF-002-603, VF-002-604, VF-003-601, VF-003-602, VF-003-604, VF-003-605, VF-003-606, VF-003-607, VF-005-601, VF-005-602, VF-005-603, VF-00X-601, VF-00X-602, VF-00X-603, VF-00X-604, VF-00X-605, VF-00X-606, VF-00X-607, VF-00X-608, VF-3WAY-100",Not Specified,Building Automation and Controls,ed4e6deff1b19c24ae13cad35fee2c6b39405776
A-4400,Johnson Controls,"Accessories, Accessory","A-4000-154, A-4000-156, A-4000-158, A-4000-620, A-4000-632, A-4000-633, A-4110-604, A-4110-607, A-4110-608, A-4110-610, A-4210-603, A-4300-600, A-4300-601, A-4300-602, A-4400, A-4400-607, A-4400-608, A-4400-610, A-4412-1, A-4412-2, A-4417-1, A-4417-2, A-4423-1, A-4423-2",Not Specified,Building Automation and Controls,691649f263da357e6f2870bf8897f41200ba45dd
A350EB-4C Electronic Cooling Control,PENN Controls,"Defrost,Multi-Purpose Controller, Electronic Refrigeration",A350EB-4C,Not Specified,Building Automation and Controls,1c53d993d8a534f660132fc7cb4856d1bb50c4fe
A350P Temperature Control with Analog Output,PENN Controls,System 350 Single-Purpose Modular Control System,"A350, A350A, A350B, A350E, A350P, A350PS, A350PS-1C, A350PS-1CM, A350PS-2C, A350PS-2CM, A350PT, A350PT-1C, A350R, A350S, S350, S350A, S350C, W351, W351P",System 350,Building Automation and Controls,131092a7b2ddc1a64b0f73f222460dcd648f6fb7
A350R Reset Temperature Control Module,PENN Controls,System 350 Single-Purpose Modular Control System,"A350, A350A, A350B, A350E, A350P, A350R, A350RS, A350RS-1C, A350RT, A350RT-1C, A350S, S350, W351, W351P",System 350,Building Automation and Controls,b241014ee2968eb89658ffb85a467d75e246685b
A28 and A36 Multi‐Stage Temperature Control,PENN Controls,Electromechanical Temperature Control,"A19, A19ANC, A19BAC, A19BAC-15C, A19BAC-1C, A19BAC-3C, A19EAF, A19EAF-1C, A19EAF-2C, A19EAF-6C, A19EAF-7C, A19KNC, A19KNC-1C, A19KNF, A19KPC, A19KPF, A28, A28AA, A28AA-20C, A28AA-20CP, A28AA-28C, A28AA-29C, A28AA-36C, A28AA-36CP, A28AA-36D, A28AA-37C, A28AA-4C, A28AA-60C, A28AA-65C, A28AA-70C, A28AA-71C, A28AA-8001C, A28AA-81C, A28AA-9C, A28AA-9CP, A28AB, A28AB-1C, A28AJ, A28AJ-18C, A28AJ-25C, A28AJ-29C, A28AJ-4C, A28AK, A28AK-1C, A28AK-2C, A28GA, A28GJ, A28KA, A28KJ, A28MA, A28MA-1C, A28MA-2C, A28MA-3C, A28PA, A28PA-1E, A28PA-2C, A28PA-2D, A28PJ, A28PJ-1C, A28PJ-2C, A28PJ-4C, A28PJ-5C, A28PJ-6C, A36, A36AGA, A36AGA-9C, A36AHA, A36AHA-34C, A36AHA-50C, A36AHA-52C, A36AHA-53C, A36AHA-54C, A36AHA-58C, A36AHA-8C, A36AHB, A36AHB-1C, A36AHB-29C, A36AHB-32C, A36AHB-33C, A36AHB-3C, A36AHB-4C","A19, A28, A36",Building Automation and Controls,c35f6a48a808acd85802c279808f8e0506076189
A91 Thermistor Temperature Sensor,PENN Controls,Temperature Sensor,"A91, A91AAA, A91AAA-10C, A91AAA-11C, A91GAA, A91GAA-1C, A91GAA-2C, A91NAA, A91NAA-3C, A91PAA, A91PAA-1C, A91PAA-2C",A91,Building Automation and Controls,f75d6992acbc058b46b9bd2ec5e459186d0eaa0f
ACC-DWCLIP-0 Drywall Clip Mounting Kit,Johnson Controls,Accessory,ACC-DWCLIP-0,Not Specified,Building Automation and Controls,e177c70877db44a453debcc685555060e85002b1
ACC-INSL-1 Foam Pad Kit,Johnson Controls,Accessory,"ACC-INSL-0, ACC-INSL-1",Not Specified,Building Automation and Controls,3d004992e6c15a89b2dd380421e8b6d1f4c0678f
