topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,brand,product_category,product_code,product_series,business,maps_link,breadcrumb,product_name
YMC2 Mod A V06 03630 OptiView Chiller Control Panel Software Service Information Letter (SI0395),YMC2 Mod A V06 03630 OptiView Chiller Control Panel Software Service Information Letter (SI0395),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/Z0pWo9_PYBjY21AqwwggEg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Mod A V06 03630 OptiView Chiller Control Panel Software
YMC2 Mod A VGD Calibration Service Information (SI0397),YMC2 Mod A VGD Calibration Service Information (SI0397),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/tkyNYfpqZy8~yHq5Om0voQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Mod A VGD Calibration
YMC2 Mod B Correction for Part Number to Fuses Used in 1278A HYP Model VSD (SI0350),YMC2 Mod B Correction for Part Number to Fuses Used in 1278A HYP Model VSD (SI0350),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/Ky93oCFvnlnbMETH2Y~hbg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Mod B
YMC2 Mod B V08 03630 OptiView Chiller Control Panel Service Information Letter (SI0393),YMC2 Mod B V08 03630 OptiView Chiller Control Panel Service Information Letter (SI0393),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/12RJcjPDMke_s28g20osQA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Mod B V08 03630 OptiView Chiller Control Panel
YMC2 Model A Centrifugal Chillers Software Enhancement (SI0256),YMC2 Model A Centrifugal Chillers Software Enhancement (SI0256),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/7ALvm2VpmIRP8IWwSyd5cQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Model A Centrifugal Chillers Software Enhancement
"YMC2 Models A and B, Replacement of Obsolete Motor Cooling EEV 325 44710 000","YMC2 Models A and B, Replacement of Obsolete Motor Cooling EEV 325 44710 000",SI0423,Not Specified,Not Specified,320,Service Information Letter,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/VWTqRA0PXEVlSQ67kedO1Q,YORK,Centrifugal,Not Specified,Not Specified,Chillers,None,,YMC2
YMC2 Style A V.05A 03630 OptiView Chiller Control Panel Software Service Information Letter (Form SI0369),YMC2 Style A V.05A 03630 OptiView Chiller Control Panel Software Service Information Letter (Form SI0369),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/RD_ttzTgbh5SVqcLfjFjdg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Style A V.05A 03630 OptiView Chiller Control Panel Software
YMC2 Style B V.07 03630 OptiView Chiller Control Panel Software Service Information Letter (Form SI0361),YMC2 Style B V.07 03630 OptiView Chiller Control Panel Software Service Information Letter (Form SI0361),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/XNjApq3grU36LyiN8q9VRQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YMC2 Style B V.07 03630 OptiView Chiller Control Panel Software
York Compressor Oils (SI0179),York Compressor Oils (SI0179),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/gWmZCOkSkBXipkh1Ln4tbA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,York Compressor Oils
YPC Absorption Chillers - Solution & Refrigerant Charges (SI0101),YPC Absorption Chillers - Solution & Refrigerant Charges (SI0101),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/9xzhVDM~4oQ83kbE9aBb_A,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YPC Absorption Chillers
YR Chillers Determining If Compressor Slide Valve is Stuck or Piston Seal Ring Is Leaking Service Information Letter (SI0096),YR Chillers Determining If Compressor Slide Valve is Stuck or Piston Seal Ring Is Leaking Service Information Letter (SI0096),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/~WuRUtlcZet8IU_Q_V98cQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Chillers Diagnosing Open SCR Faults Service Information Letter (SI0116),YR Chillers Diagnosing Open SCR Faults Service Information Letter (SI0116),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/_2AkVypRh08Ho_pFoyNvcQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Chillers Procedure for Attaching Lead to Compressor Motor Power Terminal Assembly Service Information Letter (SI0084),YR Chillers Procedure for Attaching Lead to Compressor Motor Power Terminal Assembly Service Information Letter (SI0084),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/PVwy3NjUvGF9jjGrOByCdg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Chillers using OptiView Control Center Microboard Update Effective May 2004 Service Information (SI0087),YR Chillers using OptiView Control Center Microboard Update Effective May 2004 Service Information (SI0087),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/9jGZCgcC08U13SWlAW8qvA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Compressor Field Failure Information Service Information (SI0174),YR Compressor Field Failure Information Service Information (SI0174),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/JPj~P_62bQdICH_AGneJag,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Motor Diagnostsic Procedure (SI0183),YR Motor Diagnostsic Procedure (SI0183),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/OADYp57YdTfEi7bMBmzmFQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Motor Meg-Ohm Testing Best Practice Service Information Letter (SI0204),YR Motor Meg-Ohm Testing Best Practice Service Information Letter (SI0204),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/yDo9YNr8VB1F4YrphrOHPA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Reducing Low Evapator Pressure Trip on Startup (SI0060),YR Reducing Low Evapator Pressure Trip on Startup (SI0060),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/rF6m00dWgxM9iUgokggqHg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YR Using OptiView Control Center Software Enhancements Effective March 2002 (SI0021),YR Using OptiView Control Center Software Enhancements Effective March 2002 (SI0021),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/TeSjyagE8VHvlo_MF_Q4WQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YS Chillers Oil Requirements (R-22) (SI0025),YS Chillers Oil Requirements (R-22) (SI0025),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/SOnQt_Bnk~FhqqK1twTU3Q,Johnson Controls,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YS Chillers Optiview Control Center Software Enhancements (SI0024),YS Chillers Optiview Control Center Software Enhancements (SI0024),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/8FncFWE~rG8VlJpVq2Xkfw,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YS Microboard Update Effective January 2004 (SI0071),YS Microboard Update Effective January 2004 (SI0071),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/xcwC2_f7n_x7INbv3DCApA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YS Software Enhancements Effective May 2001 (SI0007),YS Software Enhancements Effective May 2001 (SI0007),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/1ZR33WUPhFqBzRBrC7wEYg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YS
YS Software Enhancements Effective May 2004 (SI0091),YS Software Enhancements Effective May 2004 (SI0091),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/r54Il0NYVfXSVCPKcbUO1A,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YS
YS Using MicroComputer Control Center Software Enhancements Effective March 2002 (SI0023),YS Using MicroComputer Control Center Software Enhancements Effective March 2002 (SI0023),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/Kpf2HwBTO0F63abxqk8jPA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YR Chillers
YST / YK Coupling Installation Procedure for Chillers Using (SI0111),YST / YK Coupling Installation Procedure for Chillers Using (SI0111),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/GAHygRRQnRLHtEVZlSKPUw,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YST
YST / YK Coupling Installation Procedure for Chillers Using (SI0111),YST / YK Coupling Installation Procedure for Chillers Using (SI0111),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/GAHygRRQnRLHtEVZlSKPUw,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YK
YT & YK Chillers VSD Modbus Comms Upgrade for OptiView Control Panel Retrofit Kits (SI0299),YT & YK Chillers VSD Modbus Comms Upgrade for OptiView Control Panel Retrofit Kits (SI0299),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/NmJusrj49CV10le8~KqMjg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT & YK Chillers VSD Modbus Comms Upgrade for OptiView Control Panel Retrofit Kits
YT Servicing Low Emissions Purge Kit (SI0103),YT Servicing Low Emissions Purge Kit (SI0103),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/UxGfzJsNBCdwVA_pJtY_cA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT Servicing Low Emissions Purge Kit
YT Shaft Seal Application (SI0015),YT Shaft Seal Application (SI0015),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/_nYaIEUr0HEoGXSyqJK3fg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT Shaft Seal Application
YT Software Enhancements (SI0147),YT Software Enhancements (SI0147),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/KEn_3S_DHkfX_2QQf2pqww,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT
YT Software Enhancements Effective February 2003 (SI0059),YT Software Enhancements Effective February 2003 (SI0059),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/J1MOwxkUd~cYeDmXd7XeTg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT
YT Software Enhancements Effective January 2004 (SI0079),YT Software Enhancements Effective January 2004 (SI0079),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/k_kp2_VuX3x_m7yZn3w9yg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT
YT Software Enhancements Effective May 2001 (SI0008),YT Software Enhancements Effective May 2001 (SI0008),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/LDYR85e08drq~s6nML0ZFQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT
YT Software Enhancements Effective May 2004 (SI0090),YT Software Enhancements Effective May 2004 (SI0090),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/Ec~x2ut7MM6lE7FHyJzg~g,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT
"YT Style ""J"" Refrigerant Charge Levels (SI0049)","YT Style ""J"" Refrigerant Charge Levels (SI0049)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/lqW_E41oLkeqTp219MvCbQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,"YT Style ""J"" Refrigerant Charge Levels"
YT Style “A” thru “D” Chillers Revised Part Number (SI0036),YT Style “A” thru “D” Chillers Revised Part Number (SI0036),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/M~BTFCypu7lq2vuIayQSfg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT Style “A” thru “D” Chillers Revised Part Number
YT Using OptiView Control Center Software Enhancements Effective March 2002 (SI0020),YT Using OptiView Control Center Software Enhancements Effective March 2002 (SI0020),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/er80vLxW~Gb7tzQa0qVmhA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT Using OptiView Control Center
YT Version 19 Software Enhancements (SI0244),YT Version 19 Software Enhancements (SI0244),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/7xwVXqPuIyUEHHym4Rb7AA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT Version 19
YT/HT/OT Chillers Built 1992 or Earlier Oil Pump Replacement and Retrofit Kit (SI0163),YT/HT/OT Chillers Built 1992 or Earlier Oil Pump Replacement and Retrofit Kit (SI0163),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/55Aa~T0eGPoSkmvq8AY1gA,Johnson Controls,Not Specified,Not Specified,Not Specified,Not Specified,None,,YT
YT/HT/OT Chillers Built 1992 or Earlier Oil Pump Replacement and Retrofit Kit (SI0163),YT/HT/OT Chillers Built 1992 or Earlier Oil Pump Replacement and Retrofit Kit (SI0163),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/55Aa~T0eGPoSkmvq8AY1gA,Johnson Controls,Not Specified,Not Specified,Not Specified,Not Specified,None,,HT
YT/HT/OT Chillers Built 1992 or Earlier Oil Pump Replacement and Retrofit Kit (SI0163),YT/HT/OT Chillers Built 1992 or Earlier Oil Pump Replacement and Retrofit Kit (SI0163),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/55Aa~T0eGPoSkmvq8AY1gA,Johnson Controls,Not Specified,Not Specified,Not Specified,Not Specified,None,,OT
YVAA 170mm Steel Discharge Line Design Change (SI0399),YVAA 170mm Steel Discharge Line Design Change (SI0399),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/dx0ZTHZJPTnjBZQN2aXpuw,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA 170mm Steel Discharge Line
"YVAA Air Cooled Required Programming Changes During YVAA Commissioning, While On A Service Call Or When Replacing A Chiller Control Board (SI0246)","YVAA Air Cooled Required Programming Changes During YVAA Commissioning, While On A Service Call Or When Replacing A Chiller Control Board (SI0246)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/sTS082ADaNT1l3WCwIaUuQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA Air Cooled Required Programming Changes During YVAA Commissioning
"YVAA Air Cooled Required Programming Changes During YVAA Commissioning, While On A Service Call Or When Replacing A Chiller Control Board (SI0246)","YVAA Air Cooled Required Programming Changes During YVAA Commissioning, While On A Service Call Or When Replacing A Chiller Control Board (SI0246)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/sTS082ADaNT1l3WCwIaUuQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,Chiller Control Board
YVAA and YVFA Low Ambient Temp Cut-off (SI0349 ),YVAA and YVFA Low Ambient Temp Cut-off (SI0349 ),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/lI2~0LFC2cEfo6vz3L4zLg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA and YVFA Low Ambient Temp Cut-off
YVAA Chiller Evaporator Freeze Protection (SI0269),YVAA Chiller Evaporator Freeze Protection (SI0269),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/0avosQpgJEDSdjmiZdlFMQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA Chiller Evaporator Freeze Protection
YVAA Evaporator Freeze Damage Potential Due to Refrigerant Migration (SI0295),YVAA Evaporator Freeze Damage Potential Due to Refrigerant Migration (SI0295),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/rzDPvEWQrE2_tqJ7fpUQ7Q,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA Evaporator Freeze Damage Potential Due to Refrigerant Migration
YVAA Low Discharge Superheat Trips (SI0321),YVAA Low Discharge Superheat Trips (SI0321),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/10Xluxb9ISulvCKuDTT5nQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA Low Discharge Superheat Trips
YVAA Microchannel VSD Outdoor Glycol Coil (SI0338),YVAA Microchannel VSD Outdoor Glycol Coil (SI0338),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/XZcL9CN3hJ4d4~YX0Zy_cg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA Microchannel VSD Outdoor Glycol Coil
"YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)","YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/iabreAlUYIhu9C0oiQZysg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA Style A
"YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)","YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/iabreAlUYIhu9C0oiQZysg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,Air-Cooled Screw Chiller with VSD
"YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)","YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/iabreAlUYIhu9C0oiQZysg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YLAA Style A
"YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)","YVAA Style A, Air-Cooled Screw Chiller with VSD, YLAA Style A, B and C Air Cooled Scroll Chiller (SI0245)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/iabreAlUYIhu9C0oiQZysg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,B and C Air Cooled Scroll Chiller
"YVAA, YLAA, and YCAL Display and Keypad – MANDATORY RETURN Service Information Letter (SI0379)","YVAA, YLAA, and YCAL Display and Keypad – MANDATORY RETURN Service Information Letter (SI0379)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/awOggSXGss~cM5~jGQ546Q,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA
"YVAA, YLAA, and YCAL Display and Keypad – MANDATORY RETURN Service Information Letter (SI0379)","YVAA, YLAA, and YCAL Display and Keypad – MANDATORY RETURN Service Information Letter (SI0379)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/awOggSXGss~cM5~jGQ546Q,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YLAA
"YVAA, YLAA, and YCAL Display and Keypad – MANDATORY RETURN Service Information Letter (SI0379)","YVAA, YLAA, and YCAL Display and Keypad – MANDATORY RETURN Service Information Letter (SI0379)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/awOggSXGss~cM5~jGQ546Q,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YCAL
"YVAA, YLAA, and YPAL Micro Channel Coil (MCHX) Cleaning Service Information (SI0329)","YVAA, YLAA, and YPAL Micro Channel Coil (MCHX) Cleaning Service Information (SI0329)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/04c406dKGc_xQUCy9YPHNA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA
"YVAA, YLAA, and YPAL Micro Channel Coil (MCHX) Cleaning Service Information (SI0329)","YVAA, YLAA, and YPAL Micro Channel Coil (MCHX) Cleaning Service Information (SI0329)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/04c406dKGc_xQUCy9YPHNA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YLAA
"YVAA, YLAA, and YPAL Micro Channel Coil (MCHX) Cleaning Service Information (SI0329)","YVAA, YLAA, and YPAL Micro Channel Coil (MCHX) Cleaning Service Information (SI0329)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/04c406dKGc_xQUCy9YPHNA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YPAL
"YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)","YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/36c0u2CeSk2L3lVzorYvtQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVAA
"YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)","YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/36c0u2CeSk2L3lVzorYvtQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVWA
"YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)","YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/36c0u2CeSk2L3lVzorYvtQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YCAV
"YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)","YVAA, YVWA, YCAV, YCIV Screw Compressor Terminal Installation & Torque Values Service Information Letter (SI0398)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/36c0u2CeSk2L3lVzorYvtQ,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YCIV Screw Compressor Terminal & Torque Values
YVFA 3HP Motors - MANDATORY Return Service Information Letter (SI0383),YVFA 3HP Motors - MANDATORY Return Service Information Letter (SI0383),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/cSGj1BOclpe7Qx8lA0T2jg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVFA 3HP Motors - MANDATORY Return
YVFA EATON Fan Drive Firmware Update (SI0407),YVFA EATON Fan Drive Firmware Update (SI0407),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/Uumo7XTLTErmYiFMRqU7yA,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVFA EATON Fan Drive Firmware Update
YVWA FLA Settings (SI0326),YVWA FLA Settings (SI0326),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/9u7M5bzJaSfmlYfFgKKQxg,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVWA
YVWA VSD Data Message and Filter Faults Message of Single Compressor Circuit (SI0313),YVWA VSD Data Message and Filter Faults Message of Single Compressor Circuit (SI0313),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,2020-03-03,2020-03-03,2020-03-03,2020-03-03,/viewer/document/wGDSsf5R~wVbXSdlnDFZWw,YORK,Not Specified,Not Specified,Not Specified,Not Specified,None,,YVWA
