document_title,document_number,document_part_number,document_version,document_revision,document_type,document_created_at,document_last_edition,document_last_publication,document_revised_modified,brand,document_link,maps_link,product_identifier,document_identifier
YR Chillers using OptiView Control Center Microboard Update Effective May 2004 Service Information (SI0087),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/9jGZCgcC08U13SWlAW8qvA,None,935477948ce3ad3636655beadece241925aae5f8,ad5f9e8f4880a1e51c0d0202f3d878e2f51ba2b1
YR Chillers Procedure for Attaching Lead to Compressor Motor Power Terminal Assembly Service Information Letter (SI0084),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/PVwy3NjUvGF9jjGrOByCdg,None,935477948ce3ad3636655beadece241925aae5f8,257e6dfa843d1fe2288ab607ff12834b27423c8c
YR Chillers Diagnosing Open SCR Faults Service Information Letter (SI0116),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/_2AkVypRh08Ho_pFoyNvcQ,None,935477948ce3ad3636655beadece241925aae5f8,8c8626801cd97cd4a12e117b86a05b8de2e5d49b
YR Chillers Determining If Compressor Slide Valve is Stuck or Piston Seal Ring Is Leaking Service Information Letter (SI0096),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/~WuRUtlcZet8IU_Q_V98cQ,None,935477948ce3ad3636655beadece241925aae5f8,22bf8973a234a550f40033cab8343a0610ad7466
YPC Absorption Chillers - Solution & Refrigerant Charges (SI0101),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/9xzhVDM~4oQ83kbE9aBb_A,None,2c0492ccacb4babee1b8eee2f1004920b5328ed4,1b1df741e4a93e95432ee504a0cf7db47b85b168
YR Motor Diagnostsic Procedure (SI0183),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/OADYp57YdTfEi7bMBmzmFQ,None,935477948ce3ad3636655beadece241925aae5f8,ef4cc07bf7a38f4f75792d78d685d0738994919b
York Compressor Oils (SI0179),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/gWmZCOkSkBXipkh1Ln4tbA,None,8d761345ba014ad8f83e22edf670a70c1fbb0c05,be5b9f922a46799f1adc76a82436eeadd9b112e5
YMC2 Style A V.05A 03630 OptiView Chiller Control Panel Software Service Information Letter (Form SI0369),SI0369,SI0369,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/RD_ttzTgbh5SVqcLfjFjdg,None,dd7e8dddc30f521acc59ef406585fc778c9bd220,3491425e98531c55a3c288ec4a495fcd5f214a58
"YK MOD G & H, YD and YKEP Thermal Expansion Valve Availability Service Information Letter (SI0385)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/h0tVCs1eRrB9SzblMzj_uQ,None,af79ffb8c6925caf752288cf78de276ed724e28a,d806181405c75ec77b20326a36fc1c7fad921b0b
YMC2 Model A Centrifugal Chillers Software Enhancement (SI0256),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/7ALvm2VpmIRP8IWwSyd5cQ,None,fe6db2e9ab0331bcabe9b2c8ba98630ff818cbee,e5747662378fe3a916db34829a0374239b9352e4
YMC2 Mod B V08 03630 OptiView Chiller Control Panel Service Information Letter (SI0393),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/12RJcjPDMke_s28g20osQA,None,135d9bc0dbd6a54043bca29b64e31bb4163eed46,c277de8027a2c4712bc8e96a95d9ecc8171cd9fb
YMC2 Mod B Correction for Part Number to Fuses Used in 1278A HYP Model VSD (SI0350),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Ky93oCFvnlnbMETH2Y~hbg,None,a4ad314277947e7fbc2ace6a019a891dc5861e66,31445d0b8697b2dc1b6e1eb3597ccb364dd45b78
YMC2 Mod A VGD Calibration Service Information (SI0397),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/tkyNYfpqZy8~yHq5Om0voQ,None,1730abaf6ba0e2b6a240c5ecef4667afa39532be,3fe8297c779401f7eb41808a12284f489ab9d54a
YMC2 Style B V.07 03630 OptiView Chiller Control Panel Software Service Information Letter (Form SI0361),SI0361,SI0361,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/XNjApq3grU36LyiN8q9VRQ,None,d5a42f6793ffbab974a880ba1cc9c4b571624dba,5c6d7fff95cf64bd79d2cbfb901eaa9fce0c53d7
YT Software Enhancements Effective May 2004 (SI0090),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Ec~x2ut7MM6lE7FHyJzg~g,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,6250b90b49641bfbe6ebb3a61204d22a6cbe638f
YR Motor Meg-Ohm Testing Best Practice Service Information Letter (SI0204),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/yDo9YNr8VB1F4YrphrOHPA,None,935477948ce3ad3636655beadece241925aae5f8,5f663336f0864811accf502d31e412e9c8700c3a
YR Using OptiView Control Center Software Enhancements Effective March 2002 (SI0021),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/TeSjyagE8VHvlo_MF_Q4WQ,None,935477948ce3ad3636655beadece241925aae5f8,01c3cd17c6e6ca1adb7f1ea47f0a789d8a2101b5
YT Software Enhancements Effective January 2004 (SI0079),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/k_kp2_VuX3x_m7yZn3w9yg,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,133370b2be731d0aeaa1d96796b6ae74e2b64acf
YT Software Enhancements Effective February 2003 (SI0059),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/J1MOwxkUd~cYeDmXd7XeTg,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,246871bbfd0b610c66acfff65fdf07e0c94c3323
YT Software Enhancements (SI0147),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/KEn_3S_DHkfX_2QQf2pqww,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,76500279f035827f6f440905bcfc2c6c280aa5ef
YT Shaft Seal Application (SI0015),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/_nYaIEUr0HEoGXSyqJK3fg,None,7d536d49586fbe4bc3dac18180293fdc67f72b58,13ba333d33d3f4cb5416093d5a8e619bf8b69dda
YT Servicing Low Emissions Purge Kit (SI0103),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/UxGfzJsNBCdwVA_pJtY_cA,None,a5bd6a2d6c79e2bddc7a0c41bcb3527994343152,547c9109d80a33bb2c924b0f0e0aabd6c7e24d7c
YT & YK Chillers VSD Modbus Comms Upgrade for OptiView Control Panel Retrofit Kits (SI0299),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/NmJusrj49CV10le8~KqMjg,None,836b5c783de3e597edaed79ca2debd3a9d040cfe,9fcecaaa5959f95b0ba73762b536b54247e6b114
YR Reducing Low Evapator Pressure Trip on Startup (SI0060),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/rF6m00dWgxM9iUgokggqHg,None,935477948ce3ad3636655beadece241925aae5f8,9cd3a6c79fcab008eeed06958ffa2bf9aee21de9
YST / YK Coupling Installation Procedure for Chillers Using (SI0111),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/GAHygRRQnRLHtEVZlSKPUw,None,bf41da49e5ab4c76189ad8a2e306767b3364d74f,e521b58778ec4a4c71d22180b379cc9e53934df0
YS Using MicroComputer Control Center Software Enhancements Effective March 2002 (SI0023),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Kpf2HwBTO0F63abxqk8jPA,None,935477948ce3ad3636655beadece241925aae5f8,a039375294802bd2f2ae40349a025795659767f9
YS Software Enhancements Effective May 2004 (SI0091),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/r54Il0NYVfXSVCPKcbUO1A,None,7f0c0b95a76e16a608235188fbadea027bf8d2f9,a5f281b9d9afea4953752f2ab346dd87338537a0
YS Software Enhancements Effective May 2001 (SI0007),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/1ZR33WUPhFqBzRBrC7wEYg,None,7f0c0b95a76e16a608235188fbadea027bf8d2f9,1957250c83647372319d410f23964ac50087a04c
YS Microboard Update Effective January 2004 (SI0071),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/xcwC2_f7n_x7INbv3DCApA,None,935477948ce3ad3636655beadece241925aae5f8,ab0af9bb6f5405b70d11f0e394d9204547f3c920
YS Chillers Optiview Control Center Software Enhancements (SI0024),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/8FncFWE~rG8VlJpVq2Xkfw,None,935477948ce3ad3636655beadece241925aae5f8,360e3f16c6c36b082b03636b0fc8e48b7053fc76
YS Chillers Oil Requirements (R-22) (SI0025),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,Johnson Controls,/viewer/document/SOnQt_Bnk~FhqqK1twTU3Q,None,c2eb626e47387c3a34cbc1d7d811e2cc09bbb1d1,5d132ebac17114dc34be726aecfc074ab3f2e668
YST / YK Coupling Installation Procedure for Chillers Using (SI0111),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/GAHygRRQnRLHtEVZlSKPUw,None,4644afe693f5f7a10c84113bc95741d0469aa071,d776540f05311c77ebd3f6257b226ec5864ce32b
"YK MOD G & H, YD and YKEP Thermal Expansion Valve Availability Service Information Letter (SI0385)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/h0tVCs1eRrB9SzblMzj_uQ,None,3b9690ebe9cbb3c310347fb9f0c2f4285209242f,8e20c56c68624785c4203755032c33c91203e5d9
All YIA /YPC Absorption Chillers Mercury Manometers No Longer Available (SI0168),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/xgTQYDWubIZREr2y_fkxWQ,None,b1d4ab5292166a0063f0d71ba1ca8bd230dc4b37,8803534e875fa6b7c324e218863801130f955226
"YK MOD G & H, YD and YKEP Oil Coolers Availability Service Information Letter (SI0387)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/z8URvnnS6EnJMl9EymnBnw,None,3b9690ebe9cbb3c310347fb9f0c2f4285209242f,7d8ad8f6c36d1d9463db59c12865cce27cf16616
Small Tonnage Split Systems (SI0115),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/eL9zHGCKHmFwdDIJEGR_xA,None,9b417b7a158f0f5eb01b611aeecf3cb0e6e5f0fc,6aac150a90d1b370ff21f73b6b91b6ba49e1cc78
Single Stage Centrifugal Compressor Maintenance (SI0167),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/A4_Y8oooxo9oNqXGvBX_vw,None,372f463a9d03036c8f18cae34465b6ab8b6cd9e6,6c3e29075988ba04c1a2d405be65317f3b77eac3
Service Information: Large Tonnage and Small Tonnage Chillers: Oil Shelf Life (SI0002),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/jyStsM1xNDICj5CpsI86Rw,None,3345cd719df8057fa3a60005d5124f31ba8682c8,750e90c916f252bc9853e9b6cc8073d87e211023
"YK MOD G & H, YD and YKEP Oil Coolers Availability Service Information Letter (SI0387)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/z8URvnnS6EnJMl9EymnBnw,None,1d3be852918a709727ac67c31d2dad361316b52a,41ffda0f260a69da07e0218846ce0b262a81db9c
SC-EQ Firmware 3.0.0.1114 Service Information Letter (Form SI0371),SI0371,SI0371,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/dN722OWxyaVPCYUJLA5Tyg,None,1ccb8a12fa227134ad4d6c67813efdf061178365,a749f1e8c85e6a20da2324879da2f56b55be5d84
Proper Installation of Waterbox Gaskets All Chillers Service Information Letter (SI0051),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/W2XtYFFS9JY2W9CL4jB6BA,None,d2ed1a79cf6beac15601e2dfc9dce3e484938893,e5e17f127107f55b4df166a264042231b76bfd61
PP and PPW Balanced Pressure Proportioner,FDS-2016050,FDS-2016050,Not Specified,2,Datasheet,2020-03-03,2020-03-03,2020-03-03,2020-03-03,SKUM,/viewer/document/yMeprHhRocORqA54lJ2Plg,None,de6184e7f729a6e26bae4f597fa217a27a364e36,3d49d7fcd79741c67a0968b2d43cc95d99d5fffd
Air-cooled and Water-cooled Chillers Torque Instructions for Mueller Seal Cap Service Valves (SI0404),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/pcfeOtOBs7jRC0FfDatU~Q,None,67d774d6c599a418a8b84daa75054ec927df4ef7,ae3e1d40d50338dbaaa37da9989f088e8737bca1
Alarming Wrap Tag Series User Guide,8200-0967-01,8200-0967-01,Not Specified,D,User Guide,2020-03-03,2020-03-03,2020-03-03,2020-03-03,Sensormatic,/viewer/document/2KKlqGsj1OnSRUJd6PX~sA,None,3ed17a133200a58cf72c4bbad56fe735dad06e88,d9488d64603a3f2657a2291faa712f048921c283
ALL Liquid Cooled Solis State Starters Troubleshooting Output Current Imbalance (SI0052),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/UfTli6AT_JFqLC74Uw_cHQ,None,875ec60b6a80826c1eedfea2f7d7d29852e3bf33,256ec88cd0494b7f8a77c2a5864d56467361b3be
"All Screw and Scroll Air Cooled Chillers, Transformer Returns - MANDATORY (SI0376)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ahczCKTd33mQOMkpacaFzA,None,bae04ec86405b165e90a57096940e6351f6afb76,1a34111d6f1b9cd7bfab80b85c1d2bc1e72d3d28
"All Screw and Scroll Air Cooled Chillers, Transformer Returns - MANDATORY (SI0376)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ahczCKTd33mQOMkpacaFzA,None,4c1bdfae02e5909d3ce251ef691447abcad29d75,ac1bca456b669afe7fdf8337c4b83afc06e4e1ea
All Single Stage Centrifugal Chillers Condenser Waterbox Installation Procedure (SI0272),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/TwUnTReAN4CgRx0g1KnnKg,None,5ffbf26b7f122630c4284a1bc0b4f9cb662c5748,86cda7006b9621812815de3014e29dd727915070
"OT/HT Style ""B"" & ""C"" Turbopak (SI0162)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,Johnson Controls,/viewer/document/4YOs2FEa2QNZaQUh~EoM7g,None,12f6a58767b927a58fe7c63c329c6bdf350faa0b,43185510a590125c6f6a57f0e99ca6ea73575ddb
"OT, YT, YK Motor Qualification for Aftermarket Low Voltage VSD Application (SI0182)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/4Tyll03I5VbfsamSqfL5hQ,None,36b94c73bcf4469bb169e190f430c7f49b670418,b11070d6286b88e1f35461c3b1a0fb8b8853402c
Trane Tri-State Vane Actuator Replacement for Trane OptiView Retrofits (SI0284),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3Y0PETgrt4SbPwQuWNZ_Ww,None,b2e55ec67abf0a14272d958beb4c1212ba59fbd1,321ed0055f7fe5043f500c778d647fe4e1a09137
Transition Installation Guide,8200-2697-24,8200-2697-24,Not Specified,B,Installation Guide,2020-03-03,2020-03-03,2020-03-03,2020-03-03,Sensormatic,/viewer/document/FlB7FoL9V8PlR_5jFO_I1Q,None,ced4e3065e07cf8eae61642e62394acf8d2a3157,04a1f0cd1ddaa249071cb269c1f368f399e9bec2
Troubleshooting the OptiView Control Center (SI0047),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/nPlPghGSOoNs23Vs~SMblg,None,34b24fe581665b953637903612d0fc42ba5f4ba8,e5ec1ad83f737f7a33b2a27cf4a9fdf71fc81e51
"Troubleshooting YK, YD, YST and CYK Chiller PRV and VGD Actuators (SI0240)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/YM1geJjtrv~oflf0w2wZjQ,None,4644afe693f5f7a10c84113bc95741d0469aa071,1f77b4b60d5ba57ff0bf01567853e65b13df87e9
"YCAJ/Z, YCUJ/Z, YCWJ/Z, YCRJ/Z & YCAS Style D Chillers Phase Out of ABB ""EH"" Style Contactors (SI0108)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/DysCCUQcPzZDdV9Vwc7ZQw,None,bbddfe9f3ce218d4bc7c0ca649b0f7c159dd6d02,313496f45341020019c00fe78123a6d28b966091
Where TXV's are used YCAL / YLAA / YCWS / YCAS / YCWL / YCRL Service Information (SI0273),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Qm4WK3Y5eqlnnR8wi2HV2A,None,1e332f8de730ecf456bacb90fb2a1be79b81d484,f7c50270b0bdf5d08bc10e32ffe79238e42d4113
Where TXV's are used YCAL / YLAA / YCWS / YCAS / YCWL / YCRL Service Information (SI0273),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Qm4WK3Y5eqlnnR8wi2HV2A,None,ff895b81a376ab70154e30f58a4401c89fade93d,ee6284a75a89ce9d886d1b88db28bac9af2ca66c
Where TXV's are used YCAL / YLAA / YCWS / YCAS / YCWL / YCRL Service Information (SI0273),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Qm4WK3Y5eqlnnR8wi2HV2A,None,18310553e51eb08ea956527a011cea243d145927,d0022b06af9cc69f2ca41a8f2ddc49542a07c0df
Where TXV's are used YCAL / YLAA / YCWS / YCAS / YCWL / YCRL Service Information (SI0273),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Qm4WK3Y5eqlnnR8wi2HV2A,None,d9210bbf9a53f461f5e2a3ab51bbdc098bf1cf52,9f6d119ebff13c77965fee4c15364f34d8aa2a7e
Where TXV's are used YCAL / YLAA / YCWS / YCAS / YCWL / YCRL Service Information (SI0273),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Qm4WK3Y5eqlnnR8wi2HV2A,None,10fee30acd6437fb3f0444edc044e3b87dcd84a7,cdda07d2ae652aa98e169d07bd01b86222b0d639
Where TXV's are used YCAL / YLAA / YCWS / YCAS / YCWL / YCRL Service Information (SI0273),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Qm4WK3Y5eqlnnR8wi2HV2A,None,e089c1f208dae0a7df61357cf9dbfb8e510a0a46,c98746cb7b4834b051eea01374400e6ee56c327f
"OT, YT, YK Motor Qualification for Aftermarket Low Voltage VSD Application (SI0182)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/4Tyll03I5VbfsamSqfL5hQ,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,a6c69aee84dc9e23e8b097a906509dee236c7f50
VSD Power Modules and Pole Assembly Mandatory Returns (SI0400),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/0dOr4budT29FMJzL_lyEhA,None,221756bb9229def03c4de1b62c8d24457b2d1ee8,5b9c7df8e5dbf0cdd2f7644c28401feed8a497f5
V6 YD OptiView Chiller Control Panel (SI0287),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/_m4dvKVbxykCV1ALZy1ktg,None,5f9b7fff89e6d4c74cfce3b8bca3ac0d3e8333fe,ae1361b7ea869a0544cc2b2876a52cf77c2c2fe8
V5 YD OptiView Chiller Control Panel (SI0286),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/sqRdDvc5Zt~izjfvW1TY2g,None,c090a861fe7efdd3d177d69328d45eb4cd914d84,574b1bd0a1154bb0f400de7c00e48795ef2f7b5d
V27/V0 YK OptiView Chiller Control Panel (SI0300),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/5aaNZLsU1TQXIBzcnIfMJg,None,f6db44a041725e085ac540859a36d0ccc4dc349f,e1ce4f0d4085cbf50824107d5d61e1a49ebfdece
Type S Model Absorption Chiller Globe Valve Design Change (SI0010),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Bz17eIH_PqJwLwgkRiAm2Q,None,658d68585399a9b0011a3a88599fded7e0f120b8,6db1697ec4b3bb6bd4e62d1d2d622c52321847c9
Tube Extraction Procedures (SI0254),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/dHsC4MsbyBxI7HUV_7pjeA,None,95c0d32cbe66f6465fac8e5d4009fd4199b2840b,ee1b8339456038fd86c0ebeae5a16999e5ca95a9
Tube Expansion Procedures (SI0048),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/13G8lENYc0ErkBVsbHwjIw,None,fc15f1902f36a61cdaa7cb142f7c7218538d1878,4d8bb446f1eb36e68ad6691297de1582cbd27d40
"Troubleshooting YK, YD, YST and CYK Chiller PRV and VGD Actuators (SI0240)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/YM1geJjtrv~oflf0w2wZjQ,None,e3c649366b08d4e34d3be45cf404d01cd26d879a,9a61656f464fda24c4a973cd6d0dd96c4eb47486
"VSD High Motor Current Issue YCAV, YCIV, YVAA, YVWA (SI0315)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/SWZqXrxuVxF1sibF~h~_2w,None,90425fd09b80050fa5effd42da03bc9583315954,35b28fb079f9847ffa6fd784a56c77e93846580d
"OT, YT, YK Motor Qualification for Aftermarket Low Voltage VSD Application (SI0182)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/4Tyll03I5VbfsamSqfL5hQ,None,9ef92b167dbb8e07caddf09cfa8115703e30ceaf,781907b3add718cf2a36e96d60071c62c049db2c
OptiView Panel Microboard Replacements (SI0285),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/eYmd577N4SP5EzznApgdRQ,None,ef2ce15ef564e018d1e9e823f638009740754d58,9b71caa1db1d3aaf5691920bfe7d48bda9ad4e88
Optiview Panel LED Display Service Information (SI0296),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/xK_FoeEg_XyqL8eGzmb~vw,None,78715f5f216f4287fe9fb916e8b06943ee2c16bf,7011ae715c0a4a912ad547daaf070e818b23e344
Data Logging on Scroll Chillers (SI0337),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/c1K~oTYy8d3DrcDMDEsHyg,None,1bceabe32f9b40168da6b646f743ca95c4b3eb1d,0e1e5c55ed66a3953007b0b63c7fca4028cd6a0e
CYK with Quantum Control Panel Installation Instructions (SI0239),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/DjyqLLqLyzUjLL99fnkigA,None,d152c1561704369fbe21ea5b05c2c707fc82bd33,38dd76b8f55c3b904d32d64f0b67b9f7d0d2a847
