product_name,product_brand,product_category,product_code,product_series,product_part_number,business
KT-400,Kantech,"Accessories, Software",Not Specified,Not Specified,Not Specified,Not Specified
S-Series,Exacq,Network Video Storage,Not Specified,S,Not Specified,Not Specified
FEC Control Panel,Metasys,Control Panel,"SAKG00011E00, SAKF00011E00",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"PAKG00001FH4, PAKF00001FH0, PAKJ00001FH0, PAKG00001FH0, PAKB00001FH4, PAKA00001FH4, PAKA00001FH0, PAKB00001FH0, PAKH00001FH0, PAKF00001FH4, PAKD00001FH0, PAKE00001FH0",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"PAKF00011EH0, PAKG00011EH0",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"SAKD00001F00, SAKG0001F04, SAKH00001F00, SAKB00001F04, SAKJ00001F00, SAKA00001F04, SAKF00001F04, SAKF00001F00, SAKG00001F04, SAKE00001F00, SAKA00001F00, SAKB00001F00, SAKG00001F00",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"SAKBJD002A00, SAKB00001A00, SAKAJC002A00, SAKBJB002A00, SAKG00002A00, SAKE00001A00, SAKG00001A04, SAKGJM002A00, SAKG00001A00, SAKGJG002A00, SAKGJJ002A00, SAKA00001A00, SAKF00001A00, SAKGJN002A00, SAKAJD002A00, SAKFJJ002A00, SAKB00001A04, SAKBJA001A00, SAKFJG002A00, SAKGJL002A00, SAKAJB002A00, SAKFJF001A00, SAKFJH002A00, SAKB00002A00, SAKGJH002A00, SAKJ00001A00, SAKAJA001A00, SAKGJF001A00, SAKBJC002A00",Not Specified,Not Specified,Building Automation and Controls
IOM Control Panel,Metasys,Control Panel,"SAKBJD002A00, SAKB00001A00, SAKAJC002A00, SAKBJB002A00, SAKG00002A00, SAKE00001A00, SAKG00001A04, SAKGJM002A00, SAKG00001A00, SAKGJG002A00, SAKGJJ002A00, SAKA00001A00, SAKF00001A00, SAKGJN002A00, SAKAJD002A00, SAKFJJ002A00, SAKB00001A04, SAKBJA001A00, SAKFJG002A00, SAKGJL002A00, SAKAJB002A00, SAKFJF001A00, SAKFJH002A00, SAKB00002A00, SAKGJH002A00, SAKJ00001A00, SAKAJA001A00, SAKGJF001A00, SAKBJC002A00",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"SAKAJC002B00, SAKBJA011B00, SAKGJF011B00, SAKAJB002B00, SAKGJN002B00, SAKFJG002B00, SAKGJJ012B00, SAKGJK002B00, SAKGJF001B00, SAKGJJ002B00, SAKAJC012B00, SAKAJB012B00, SAKA00011B00, SAKGJH002B00, SAKH00001B00, SAKBJB012B00, SAKBJD002B00, SAKBJE002B00, SAKA00001B04, SAKGJG002B00, SAKE00001B00, SAKGJL002B00, SAKFJH012B00, SAKFJF011B00, SAKFJH002B00, SAKB00001B00, SAKGJM002B00, SAKBJB002B00, SAKB00001B04, SAKBJA001B00, SAKAJA011B00, SAKG00011B00, SAKAJD002B00, SAKG00001B04, SAKA00001B00, SAKAJA001B00, SAKF00001B00, SAKBJC002B00, SAKFJJ002B00, SAKFJF001B00, SAKG00001B00, SAKJ00001B00, SAKFJG012B00, SAKF00011B00, SAKBJC012B00, SAKGJH012B00, SAKAJD012B00, SAKB00011B00, SAKGJG012B00, SAKD00001B00, SAKF00001B04, SAKFJJ012B00, SAKBJD012B00",Not Specified,Not Specified,Building Automation and Controls
IOM Control Panel,Metasys,Control Panel,"SAKAJC002B00, SAKBJA011B00, SAKGJF011B00, SAKAJB002B00, SAKGJN002B00, SAKFJG002B00, SAKGJJ012B00, SAKGJK002B00, SAKGJF001B00, SAKGJJ002B00, SAKAJC012B00, SAKAJB012B00, SAKA00011B00, SAKGJH002B00, SAKH00001B00, SAKBJB012B00, SAKBJD002B00, SAKBJE002B00, SAKA00001B04, SAKGJG002B00, SAKE00001B00, SAKGJL002B00, SAKFJH012B00, SAKFJF011B00, SAKFJH002B00, SAKB00001B00, SAKGJM002B00, SAKBJB002B00, SAKB00001B04, SAKBJA001B00, SAKAJA011B00, SAKG00011B00, SAKAJD002B00, SAKG00001B04, SAKA00001B00, SAKAJA001B00, SAKF00001B00, SAKBJC002B00, SAKFJJ002B00, SAKFJF001B00, SAKG00001B00, SAKJ00001B00, SAKFJG012B00, SAKF00011B00, SAKBJC012B00, SAKGJH012B00, SAKAJD012B00, SAKB00011B00, SAKGJG012B00, SAKD00001B00, SAKF00001B04, SAKFJJ012B00, SAKBJD012B00",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"PAKB00001AH4, PAKB00001AH0, PAKBJD002AH0, PAKGJM002AH0, PAKGJN002AA0, PAKGJL002AA0, PAKJJF001AA0, PAKA00001AH0, PAKBJA001AH0, PAKG00002AH0, PAKGJN002AH0, PAKGJJ002AH0, PAKFJH002AH0, PAKAJA001AH0, PAKJ00001AH0, PAKJJJ002AH0, PAKB00002AH0, PAKBJB002AH0, PAKJJJ002AA0, PAKJJG002AA0, PAKE00001AH0, PAKGJL002AH0, PAKG00001AH4, PAKGJG002AH0, PAKJJH002AH0, PAKAJB002AH0, PAKBJC002AH0, PAKAJD002AH0, PAKJJF001AH0, PAKGJH002AH0, PAKGJF001AH0, PAKJJG002AH0, PAKAJC002AH0, PAKFJF001AH0, PAKF00001AH0, PAKG00001AH0, PAKJJH002AA0, PAKFJG002AH0, PAKFJJ002AH0",Not Specified,Not Specified,Building Automation and Controls
IOM Control Panel,Metasys,Control Panel,"PAKB00001AH4, PAKB00001AH0, PAKBJD002AH0, PAKGJM002AH0, PAKGJN002AA0, PAKGJL002AA0, PAKJJF001AA0, PAKA00001AH0, PAKBJA001AH0, PAKG00002AH0, PAKGJN002AH0, PAKGJJ002AH0, PAKFJH002AH0, PAKAJA001AH0, PAKJ00001AH0, PAKJJJ002AH0, PAKB00002AH0, PAKBJB002AH0, PAKJJJ002AA0, PAKJJG002AA0, PAKE00001AH0, PAKGJL002AH0, PAKG00001AH4, PAKGJG002AH0, PAKJJH002AH0, PAKAJB002AH0, PAKBJC002AH0, PAKAJD002AH0, PAKJJF001AH0, PAKGJH002AH0, PAKGJF001AH0, PAKJJG002AH0, PAKAJC002AH0, PAKFJF001AH0, PAKF00001AH0, PAKG00001AH0, PAKJJH002AA0, PAKFJG002AH0, PAKFJJ002AH0",Not Specified,Not Specified,Building Automation and Controls
FEC Control Panel,Metasys,Control Panel,"PAKGJG012BH0, PAKGJJ002BH4, PAKGJM002BH0, PAKAJB002BH0, PAKA00001BH4, PAKBJD012BC0, PAKAJD002BH0, PAKBJE002BH0, PAKJJH002BA0, PAKBJC012BC0, PAKH00001BH0, PAKJJG002BA0, PAKFJF001BH0, PAKA00001BH0, PAKG00011BH0, PAKGJG002BH0, PAKGJH002BH0, PAKGJJ012BH0, PAKJJF011BH0, PAKJJJ012BH0, PAKJJH012BH0, PAKAJA011BC0, PAKJJJ002BA0, PAKBJB002BH0, PAKFJH002BH0, PAKAJA001BH0, PAKBJA011BC0, PAKFJH012BH0, PAKD00001BH0, PAKJJG012BA0, PAKAJD012BC0, PAKJJG012BH0, PAKGJL002BA0, PAKGJF001BH0, PAKG00001BH4, PAKBJD002BH0, PAKAJC002BH0, PAKFJJ012BH0, PAKGJN002BA0, PAKFJG002BH0, PAKJJF011BA0, PAKJJJ002BH0, PAKJJH012BA0, PAKAJC012BC0, PAKJJH002BH0, PAKBJA001BH0, PAKFJF011BH0, PAKFJG012BH0, PAKB00001BH4, PAKGJH012BH0, PAKGJL002BH0, PAKF00011BH0, PAKJJK002BA0, PAKBJB012BC0, PAKGJK002BH0, PAKB00011BC0, PAKF00001BH4, PAKJJG002BH0, PAKJJJ012BA0, PAKGJF011BH0, PAKE00001BH0, PAKGJN002BH0, PAKAJB012BC0, PAKF00001BH0, PAKJJK002BH0, PAKBJC002BH0, PAKJ00001BH0, PAKJJF001BH0, PAKFJJ002BH0, PAKGJJ002BH0, PAKB00001BH0, PAKG00001BH0, PAKJJF001BA0, PAKA00011BC0",Not Specified,Not Specified,Building Automation and Controls
IOM Control Panel,Metasys,Control Panel,"PAKGJG012BH0, PAKGJJ002BH4, PAKGJM002BH0, PAKAJB002BH0, PAKA00001BH4, PAKBJD012BC0, PAKAJD002BH0, PAKBJE002BH0, PAKJJH002BA0, PAKBJC012BC0, PAKH00001BH0, PAKJJG002BA0, PAKFJF001BH0, PAKA00001BH0, PAKG00011BH0, PAKGJG002BH0, PAKGJH002BH0, PAKGJJ012BH0, PAKJJF011BH0, PAKJJJ012BH0, PAKJJH012BH0, PAKAJA011BC0, PAKJJJ002BA0, PAKBJB002BH0, PAKFJH002BH0, PAKAJA001BH0, PAKBJA011BC0, PAKFJH012BH0, PAKD00001BH0, PAKJJG012BA0, PAKAJD012BC0, PAKJJG012BH0, PAKGJL002BA0, PAKGJF001BH0, PAKG00001BH4, PAKBJD002BH0, PAKAJC002BH0, PAKFJJ012BH0, PAKGJN002BA0, PAKFJG002BH0, PAKJJF011BA0, PAKJJJ002BH0, PAKJJH012BA0, PAKAJC012BC0, PAKJJH002BH0, PAKBJA001BH0, PAKFJF011BH0, PAKFJG012BH0, PAKB00001BH4, PAKGJH012BH0, PAKGJL002BH0, PAKF00011BH0, PAKJJK002BA0, PAKBJB012BC0, PAKGJK002BH0, PAKB00011BC0, PAKF00001BH4, PAKJJG002BH0, PAKJJJ012BA0, PAKGJF011BH0, PAKE00001BH0, PAKGJN002BH0, PAKAJB012BC0, PAKF00001BH0, PAKJJK002BH0, PAKBJC002BH0, PAKJ00001BH0, PAKJJF001BH0, PAKFJJ002BH0, PAKGJJ002BH0, PAKB00001BH0, PAKG00001BH0, PAKJJF001BA0, PAKA00011BC0",Not Specified,Not Specified,Building Automation and Controls
4009 IDNET NAC Extender,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
4009 TrueAlert Addressable Controller,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
S610e,CEM Systems,Hardware,Not Specified,Not Specified,S610E_IM-6-1.9.1,Access Control
S610e,CEM Systems,Hardware,Not Specified,Not Specified,S610-QG-0078-2.1,Access Control
TrueSite Workstation Mobile Client for TrueSite Graphic Annunciator,Simplex,"Networks, Workstations,Integration",Not Specified,Not Specified,Not Specified,Not Specified
KT-1,Kantech,"Accessories, Software",Not Specified,Not Specified,Not Specified,Not Specified
EntraPass,Kantech,"Hardware, Software",Not Specified,Not Specified,Not Specified,Not Specified
KT-400,Kantech,"Hardware, Software",Not Specified,Not Specified,Not Specified,Not Specified
KT-300,Kantech,Hardware,Not Specified,Not Specified,Not Specified,Not Specified
KT-400,Kantech,Hardware,Not Specified,Not Specified,Not Specified,Not Specified
YCAV,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
YCIV,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
YVAA,YORK,Screw Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
ADS Server,Metasys,"Server, Software Application","MS-ADX100U-0, MS-ADX100ON-SCS, MS-ADX100SQL2-8, MS-ADX100U-SCS, MS-ADX100SQL2-6, MS-ADX100ON-SC3, MS-ADVGRF-0, MS-ADX25UNL-SC3, MS-ADX100U-SC3, MS-ADVGRF-6, MS-ADX100SQL2-0, MS-ADX100U-8, MS-ADX100U-6",Not Specified,Not Specified,Building Automation and Controls
ADX Server,Metasys,"Server, Software Application","MS-ADX100U-0, MS-ADX100ON-SCS, MS-ADX100SQL2-8, MS-ADX100U-SCS, MS-ADX100SQL2-6, MS-ADX100ON-SC3, MS-ADVGRF-0, MS-ADX25UNL-SC3, MS-ADX100U-SC3, MS-ADVGRF-6, MS-ADX100SQL2-0, MS-ADX100U-8, MS-ADX100U-6",Not Specified,Not Specified,Building Automation and Controls
System Configuration Tool,Metasys,"Server, Software Application","MS-ADX100U-0, MS-ADX100ON-SCS, MS-ADX100SQL2-8, MS-ADX100U-SCS, MS-ADX100SQL2-6, MS-ADX100ON-SC3, MS-ADVGRF-0, MS-ADX25UNL-SC3, MS-ADX100U-SC3, MS-ADVGRF-6, MS-ADX100SQL2-0, MS-ADX100U-8, MS-ADX100U-6",Not Specified,Not Specified,Building Automation and Controls
Damper Actuator,Johnson Controls,Pneumatic Actuator,"D-3062-4, D-3062-5113, D-3062-5263, D-3062-106, D-3062-3282, D-3062-41, D-3062-104, D-3062-100, D-3062-1, D-3062-108",Not Specified,Not Specified,Building Automation and Controls
DS-3062,Johnson Controls,Pneumatic Actuator,"D-3062-4, D-3062-5113, D-3062-5263, D-3062-106, D-3062-3282, D-3062-41, D-3062-104, D-3062-100, D-3062-1, D-3062-108",Not Specified,Not Specified,Building Automation and Controls
DS-3062-100,Johnson Controls,Pneumatic Actuator,"D-3062-4, D-3062-5113, D-3062-5263, D-3062-106, D-3062-3282, D-3062-41, D-3062-104, D-3062-100, D-3062-1, D-3062-108",Not Specified,Not Specified,Building Automation and Controls
Damper Actuator,Johnson Controls,Pneumatic Actuator,"D-4073-3123, D-4073-1, D-4073-6002, D-4073-3107, D-4073-2, D-3073-101, D-4073-3100, D-4073-6003, D-4073-7, D-4073-3, D-4073-4, D-4073-6001, D-4073-5, D-4073-6",Not Specified,Not Specified,Building Automation and Controls
DS-4073,Johnson Controls,Pneumatic Actuator,"D-4073-3123, D-4073-1, D-4073-6002, D-4073-3107, D-4073-2, D-3073-101, D-4073-3100, D-4073-6003, D-4073-7, D-4073-3, D-4073-4, D-4073-6001, D-4073-5, D-4073-6",Not Specified,Not Specified,Building Automation and Controls
Damper Actuator,Johnson Controls,Pneumatic Actuator,"D-4073-7, D-4073-1, D-4073-3, D-4073-2, D-4073-6, D-4073-4, D-4073-6003, D-4073-6002, D-4073-6001, D-4073-5",Not Specified,Not Specified,Building Automation and Controls
DS-4073,Johnson Controls,Pneumatic Actuator,"D-4073-7, D-4073-1, D-4073-3, D-4073-2, D-4073-6, D-4073-4, D-4073-6003, D-4073-6002, D-4073-6001, D-4073-5",Not Specified,Not Specified,Building Automation and Controls
M9220-Bxx-3,Johnson Controls,Electric Actuator,"M9220-BAC-3, M9220-BDC-3, M9220-BAA-3, M9220-BDA-3, M9220-BGA-3, M9220-BGC-3, M9220-Bxx-3",Not Specified,Not Specified,Building Automation and Controls
YKEP,YORK,Centrifugal,Not Specified,Not Specified,Not Specified,Chillers
SEC,Johnson Controls,Field Device,"SE-SPU1011-0, SE-SPU1001-1, SE-SPU1001-0, SE-SPU1002-1, SE-SPU1012-1, SE-SPU1012-0, SE-SPU1002-0, SE-SPU1011-1",Not Specified,Not Specified,Building Automation and Controls
SPU,Johnson Controls,Field Device,"SE-SPU1011-0, SE-SPU1001-1, SE-SPU1001-0, SE-SPU1002-1, SE-SPU1012-1, SE-SPU1012-0, SE-SPU1002-0, SE-SPU1011-1",Not Specified,Not Specified,Building Automation and Controls
UCB,Johnson Controls,Field Device,"SE-SPU1011-0, SE-SPU1001-1, SE-SPU1001-0, SE-SPU1002-1, SE-SPU1012-1, SE-SPU1012-0, SE-SPU1002-0, SE-SPU1011-1",Not Specified,Not Specified,Building Automation and Controls
SEC,Johnson Controls,Field Device,"SE-ECON1001-1, SE-SPU1001-1, SE-SPU1001-0, SE-SPU1004-0, SE-SPU1002-1, SE-SPU1011-0, SE-COM1001-0, SE-SPU1012-1, SE-FDD1001-0, SE-SPU1004-1, SE-ECO1001-1, SE-SPU1012-0, SE-SPU1002-0, SE-FDD1001-1, SE-SPU1011-1, SE-ECO1001-0",Not Specified,Not Specified,Building Automation and Controls
VPP,Johnson Controls,Flanged Globe or Ball Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
VPS,Johnson Controls,Flanged Globe or Ball Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
A-Series,Exacq,Network Video Recorder,Not Specified,A,Not Specified,Not Specified
ELP-Series,Exacq,Network Video Recorder,Not Specified,ELP,Not Specified,Not Specified
CD-W00-x0-2 CO2 and Temperature Transmitter,Johnson Controls,"CO2 Sensor/Transmitter, Temperature Transmitter",CD-W00-00-2,Not Specified,Not Specified,Building Automation and Controls
RA-1250 Thermal Dispersion Fan Inlet Sensor,Johnson Controls,Air Measuring System,"RAF, RAB, RAP, DMPR-RA003",Not Specified,Not Specified,Building Automation and Controls
YLAA,YORK,Scroll Air Cooled,Not Specified,Not Specified,Not Specified,Chillers
EntraPass,Kantech,Mobile App,Not Specified,Not Specified,Not Specified,Not Specified
NS Series Network Sensor,Johnson Controls,Network Sensor,NS-AHR7101-0,Not Specified,Not Specified,Building Automation and Controls
CD-WAx-00-2 CO2 and Temperature Transmitter,Johnson Controls,"CO2 Sensor/Transmitter, Temperature Transmitter",CD-WA0-00-2,Not Specified,Not Specified,Building Automation and Controls
VH,Johnson Controls,Flanged Globe or Ball Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
A419 Electronic Temperature Control,PENN Controls,Electronic Temperature Control,A419ABG-3C,Not Specified,Not Specified,Building Automation and Controls
YCRL,YORK,Scroll Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
TEC3000 Thermostat,Johnson Controls,Network Thermostat,"TEC3312-00-000, TEC3630-01-000, TEC3610-00-000, TEC3631-01-000, TEC3322-00-000, TEC3613-00-000, TEC3310-00-000, TEC3323-00-000, TEC3331-00-000, TEC3612-00-000, TEC3630-00-000, TEC3311-00-000, TEC3313-00-000, TEC3320-00-000, TEC3321-00-000, TEC3330-00-000, TEC3631-00-000, TEC3621-00-000, TEC3623-00-000, TEC3611-00-000, TEC3622-00-000, TEC3620-00-000",Not Specified,Not Specified,Building Automation and Controls
exacqVision Edge,Exacq,Edge Video,Not Specified,Not Specified,Not Specified,Not Specified
AC2000,CEM Systems,Integrations,Not Specified,Not Specified,A2SE7.1-IG-0244-1,Access Control
airSmart,LUX,Thermostat Accessories,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
LV11 Heat-Only Mechanical Thermostat,LUX,Mechanical Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
LV21 Heat-Only Mechanical Thermostat,LUX,Mechanical Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P521U Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P621U Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P721UT Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
P722U Programmable/Non-Programmable Thermostat,LUX,"Non-Programmable Thermostat, Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSD010B Heat-Only Manual Thermostat,LUX,Manual Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSD111+ Non-Programmable Thermostat,LUX,Non-Programmable Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSDH121+ Non-Programmable Heat Pump Thermostat,LUX,"Digital Thermostat, Non-Programmable Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSDH121+ Non-Programmable Heat Pump Thermostat,LUX,Non-Programmable Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSM30SA Heat-Only Mechanical Thermostat,LUX,Mechanical Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSM40SA Heating/Cooling Mechanical Thermostat,LUX,Mechanical Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
PSP511LC Programmable Thermostat,LUX,Programmable Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls NA
COM1001,Johnson Controls,Field Device,"SE-FDD1001-0, SE-SPU1002-1, SE-SPU1004-1, SE-ECO1001-0, SE-SPU1002-0, SE-SPU1012-1, SE-COM1001-0, SE-SPU1001-1, SE-ECO1001-1, SE-SPU1011-0, SE-SPU1011-1, SE-SPU1004-0, SE-FDD1001-1, SE-SPU1012-0, SE-SPU1001-0",Not Specified,Not Specified,Building Automation and Controls
ECO1001,Johnson Controls,Field Device,"SE-FDD1001-0, SE-SPU1002-1, SE-SPU1004-1, SE-ECO1001-0, SE-SPU1002-0, SE-SPU1012-1, SE-COM1001-0, SE-SPU1001-1, SE-ECO1001-1, SE-SPU1011-0, SE-SPU1011-1, SE-SPU1004-0, SE-FDD1001-1, SE-SPU1012-0, SE-SPU1001-0",Not Specified,Not Specified,Building Automation and Controls
FDD1001,Johnson Controls,Field Device,"SE-FDD1001-0, SE-SPU1002-1, SE-SPU1004-1, SE-ECO1001-0, SE-SPU1002-0, SE-SPU1012-1, SE-COM1001-0, SE-SPU1001-1, SE-ECO1001-1, SE-SPU1011-0, SE-SPU1011-1, SE-SPU1004-0, SE-FDD1001-1, SE-SPU1012-0, SE-SPU1001-0",Not Specified,Not Specified,Building Automation and Controls
SEC,Johnson Controls,Field Device,"SE-FDD1001-0, SE-SPU1002-1, SE-SPU1004-1, SE-ECO1001-0, SE-SPU1002-0, SE-SPU1012-1, SE-COM1001-0, SE-SPU1001-1, SE-ECO1001-1, SE-SPU1011-0, SE-SPU1011-1, SE-SPU1004-0, SE-FDD1001-1, SE-SPU1012-0, SE-SPU1001-0",Not Specified,Not Specified,Building Automation and Controls
SPU,Johnson Controls,Field Device,"SE-FDD1001-0, SE-SPU1002-1, SE-SPU1004-1, SE-ECO1001-0, SE-SPU1002-0, SE-SPU1012-1, SE-COM1001-0, SE-SPU1001-1, SE-ECO1001-1, SE-SPU1011-0, SE-SPU1011-1, SE-SPU1004-0, SE-FDD1001-1, SE-SPU1012-0, SE-SPU1001-0",Not Specified,Not Specified,Building Automation and Controls
TE-637DP-1 Duct Temperature Sensor,Johnson Controls,Temperature Sensor,Not Specified,Not Specified,Not Specified,Building Automation and Controls
4010ES Remote InfoAlarm Fire Alarm Control Unit,Simplex,Fire Alarm Control Unit,Not Specified,Not Specified,Not Specified,Not Specified
M9310,Johnson Controls,Electric Actuator,"M9310, M9310-HGA-DA3",Not Specified,34-636-2456,Building Automation and Controls
VA9310,Johnson Controls,Electric Actuator,Not Specified,Not Specified,34-636-2464,Building Automation and Controls
DIU,CEM Systems,Hardware,Not Specified,Not Specified,DIU-TB-0082-1,Access Control
AC2000,CEM Systems,Integrations,Not Specified,Not Specified,a2se7.1-ig-0245-1,Access Control
AC2000,CEM Systems,Integrations,Not Specified,Not Specified,A2SE7‐IG‐0242‐1,Access Control
Mobilebridge,Johnson Controls,Server,P2K-MBS,Not Specified,Not Specified,Building Automation and Controls
VA200,Johnson Controls,Butterfly Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
VA300,Johnson Controls,Butterfly Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
FX Supervisory Controller,Facility Explorer,Field Device,"LP-FXNDIO34-0, LP-FX6021N-1, LP-FX6223T-0, LP-FXBACMS-0, LP-FXTSUPP-6, LP-FXGPRSE-0, LP-FX6211T-0, LP-KITSEDAT-0, LP-FXMDBRTU-0, LP-FXMDBRTUS-0, LP-FX60EX256-0, LP-FXAPUP-0, LP-FXBACIPS-0, FX-SC7M5-6, LP-FXPM263-0, LP-FXSADR-0, LP-FXRIO16-0, LP-FXMDM-0, LP-FXPMUK-0, LP-FXWTC-0, LP-FX60BDEM-2, LP-FXRS485-0, LP-FXMDBTCPS-0, LP-FXSMS-0, LP-FXALMPTL-0, LP-FXSED-0, LP-KITGPRSA-0, LP-FXFIPS-0, LP-FXPMUS-0, LP-FX2211T-0, LP-FXTSPE-0, LP-FXGLOB-0, LP-FXTSPE-6, LP-FXHELV-0, LP-KITFX7HW-0, LP-FX6011E-1, FX-SC7M1-6, LP-FXTSUPP-0, LP-FXWB-COPY, LP-FX30BDEM-1, FX-SC7M3-6, LP-FXEPNT-0, LP-FXVDRT-0, LP-FX3011E-1, FX-SC6EM1-6, LP-FX70WIFI-0, LP-FX2021N-1, LP-FXESTA-0, LP-FXAPHP-0, LP-FXWBE-0, LP-FXGPRSS-0, LP-FXHORT-0, LP-FX7021N-0, LP-FXAINF-0, LP-FX60BDEM-1, FX-SC3EM1-6, LP-FXMBUS-0, LP-FXGPRSW-0, LP-FX3021E-1, LP-FXMCQU-0, LP-FXPM24-0, LP-FXLANG-0, LP-FX6011E-1G, LP-FXGUEST-0, LP-FXMDBTCP-0, LP-FXGPRSU-0, LP-FXWBALM-0, LP-FXTSPDEM-6, LP-FX6011N-1, LP-FX2211T-0T, LP-FXLONFTT-0, LP-FXSNMP-0, LP-FXBACIPC-0, FX-SC3EM3-6, LP-FXWBDEM-0, LP-FXNDIO16-0, FX-SC6EM3-6, LP-FXAC-0, LP-FXJOS-0, LP-FXCCN-0, LP-FXSEDEXT-0, LP-FXNDIO34-0G, LP-FX6021E-1, LP-FX2223T-0, FX-SC3EM5-6, LP-KITFX2DB-0, LP-FXRS232-0, LP-FX20DEM-0, LP-KITFX7BAT-0, LP-FX6211T-0T, LP-FX2221T-0, LP-FX20BDEM-1, LP-FXEIB-0, LP-KIT7MEM-0, LP-KITSED3T-0, LP-FXNDIO16-0G, LP-FX6011N-0G, FX-SC6EM5-6, LP-FXLONFTT-1, LP-FX2213T-0, LP-FX6213T-0, LP-FX7011N-0, LP-FXGPRS-0, LP-FXPMEU-0, LP-KITFX2HW-0, LP-FXSRAM-0, LP-FXFLEX-0, LP-FXLONIP-0, LP-FXSADR1-0, LP-KITFXRIO-0, LP-FX6221T-0, LP-FXLON-O",Not Specified,Not Specified,Building Automation and Controls
VA-748x,Johnson Controls,Electric Actuator,"VA-7482-0312, VA-7482-9002-RA, VA-7482-8002-RA, VA-748x, VA-7482-CAB32, VA-7480-0312",Not Specified,Not Specified,Building Automation and Controls
DIS,Metasys,Field Device,Not Specified,Not Specified,Not Specified,Building Automation and Controls
DIU,CEM Systems,Hardware,Not Specified,Not Specified,DIU-TB-0083-1,Access Control
Not Specified,PENN Controls,"Electromechanical Temperature Control, Electronic Temperature Control, Line‐Voltage Thermostat",Not Specified,Not Specified,Not Specified,Building Automation and Controls
AC2000,CEM Systems,Software,Not Specified,Not Specified,A2SE7.1‐IG‐0246‐1,Access Control
OM,YORK,Centrifugal,Not Specified,Not Specified,Not Specified,Chillers
AC2000,CEM Systems,Software,Not Specified,Not Specified,A2SE7.1‐ADV‐0250‐1,Access Control
Red-E Mist,Tyco,"AquaMist, Supply Skid",Not Specified,Not Specified,Not Specified,Tyco Fire
C-202 Ratio Cumulator,Johnson Controls,Cumulator,C-202-2,Not Specified,24-4666-9,Building Automation and Controls
C-5226 Pneumatic Signal Transmitter,Johnson Controls,Accessory,C-5226-3,Not Specified,24-3911-5,Building Automation and Controls
C-5230 Pneumatic Signal Limiter,Johnson Controls,Accessory,C-5230-2,Not Specified,24-4421-9,Building Automation and Controls
C-9200 Pneumatic Sequencing Cumulator,Johnson Controls,Cumulator,C-9200-1,Not Specified,24-1223-6,Building Automation and Controls
C-9504 Two-Position Cumulator,Johnson Controls,Cumulator,C-9504-1,Not Specified,24-4434-2,Building Automation and Controls
ELP-Series Hybrid,Exacq,Network Video Recorder,Not Specified,ELP,Not Specified,Not Specified
EP-8000 Electro-Pneumatic Transducer,Johnson Controls,Transducer,EP-8000-1,Not Specified,24-85368-36,Building Automation and Controls
G-7185 Step Controller,Johnson Controls,Step Controller,"G-7185-5, G-7185-2, G-7185-107, G-7185-1",Not Specified,24-4665-4,Building Automation and Controls
